DO_ID	DO_NAME	UMLS_CUI
DOID:11389	subdural empyema	C0038539
DOID:10054	skin amelanotic melanoma	C0349515
DOID:5580	pancreatic gastrinoma	C1368066
DOID:4250	conjunctivochalasis	C0878693
DOID:4251	conjunctival disease	C0009759
DOID:4252	Alexander disease	C0270726
DOID:5583	lung giant cell carcinoma	C0206703
DOID:5583	lung giant cell carcinoma	C0345960
DOID:4257	Caffey disease	C0020497
DOID:5588	lung papillary adenocarcinoma	C1335325
DOID:4258	Weissenbacher-Zweymuller syndrome	C0031900
DOID:4253	melorheostosis	C0025239
DOID:4254	osteosclerosis	C0029464
DOID:5585	Ferguson-Smith tumor	C0345982
DOID:11390	cerebral arteritis	C0007773
DOID:5587	Volkmann contracture	C0042951
DOID:11394	adult respiratory distress syndrome	C0035222
DOID:11396	pulmonary edema	C0034063
DOID:10047	nodular malignant melanoma	C0334424
DOID:0060688	arteriovenous malformations of the brain	C0007772
DOID:10044	balloon cell malignant melanoma	C0334426
DOID:10041	dysplastic nevus syndrome	C0205747
DOID:10040	malignant eyelid melanoma	C0339116
DOID:5570	malignant acrospiroma	C1260964
DOID:5572	Beckwith-Wiedemann syndrome	C0004903
DOID:5577	gastrinoma	C0017150
DOID:4247	coronary restenosis	C0948480
DOID:4248	coronary stenosis	C0242231
DOID:5579	gastric gastrinoma	C1333767
DOID:4249	Gerstmann-Straussler-Scheinker syndrome	C0017495
DOID:4242	kidney sarcoma	C0346251
DOID:5574	VIPoma	C0011993
DOID:5576	inhibited male orgasm	C0033949
DOID:10039	late congenital syphilis	C0153132
DOID:10039	late congenital syphilis	C0153136
DOID:10079	cysticercosis	C0010678
DOID:11367	congenital aphakia	C0152422
DOID:12698	gynecomastia	C0018418
DOID:10075	diphyllobothriasis	C0012561
DOID:799	varicose veins	C0042345
DOID:10074	hymenolepiasis	C0020413
DOID:10073	syphilitic meningitis	C0153166
DOID:10071	larynx squamous papilloma	C0240164
DOID:4271	microsporidiosis	C0085407
DOID:10070	larynx leiomyoma	C1334370
DOID:4270	encephalitozoonosis	C0085412
DOID:4277	penis basal cell carcinoma	C1518949
DOID:4278	scrotum basal cell carcinoma	C1335934
DOID:11371	functional diarrhea	C0156173
DOID:11372	megacolon	C0025160
DOID:11374	anal spasm	C0152167
DOID:10069	subglottis neoplasm	C0345746
DOID:11379	gnathomiasis	C0018013
DOID:4260	gait apraxia	C1510417
DOID:5591	eccrine papillary adenocarcinoma	C1367774
DOID:5592	breast papillary carcinoma	C1336027
DOID:5593	gastric papillary adenocarcinoma	C1333785
DOID:5595	papillary thymic adenocarcinoma	C1335327
DOID:4265	angiomyoma	C0206653
DOID:4266	intravascular angioleiomyoma	C1334267
DOID:5597	fallopian tube papillary adenocarcinoma	C1333595
DOID:4267	akinetic mutism	C0001889
DOID:5598	fallopian tube serous adenocarcinoma	C1517124
DOID:11382	corneal neovascularization	C0085109
DOID:11383	cryptorchidism	C0010417
DOID:11385	expressive language disorder	C0236826
DOID:11387	epidural abscess	C0270629
DOID:10011	thyroid lymphoma	C1336753
DOID:12678	hypercalcemia	C0020437
DOID:12679	nephrocalcinosis	C0027709
DOID:5545	anal neuroendocrine tumor	C1332273
DOID:5546	femoral cancer	C0015807
DOID:5547	pulmonary artery choriocarcinoma	C1335571
DOID:5540	fallopian tube squamous cell carcinoma	C1333596
DOID:6872	spinal cord primitive neuroectodermal neoplasm	C1336048
DOID:4210	clear cell meningioma	C0431121
DOID:6871	spinal cord neuroblastoma	C1336046
DOID:4211	posterior cranial fossa meningioma	C1335448
DOID:6873	skin tag	C0037293
DOID:12680	pseudobulbar palsy	C0033790
DOID:12683	vestibular neuronitis	C0751908
DOID:4217	malignant ovarian Brenner tumor	C0334495
DOID:11353	bladder diverticulum	C0156273
DOID:11354	stone in bladder diverticulum	C0156265
DOID:12685	mixed receptive-expressive language disorder	C0236827
DOID:10003	sensorineural hearing loss	C0018776
DOID:10003	sensorineural hearing loss	C0018780
DOID:10003	sensorineural hearing loss	C0018784
DOID:11355	bladder calculus	C0005683
DOID:12689	acoustic neuroma	C0027859
DOID:4202	brain stem glioma	C0677865
DOID:5533	endometrial squamous cell carcinoma	C1333396
DOID:6865	oxyphilic endometrial endometrioid adenocarcinoma	C1518768
DOID:4203	brain stem cancer	C0153641
DOID:4203	brain stem cancer	C0677866
DOID:4203	brain stem cancer	C0751886
DOID:4203	brain stem cancer	C1332192
DOID:5534	renal pelvis squamous cell carcinoma	C0238409
DOID:5535	gallbladder squamous cell carcinoma	C0279658
DOID:6867	mediastinal gray zone lymphoma	C1334657
DOID:4205	cerebellum cancer	C0007762
DOID:4205	cerebellum cancer	C0153640
DOID:5536	sarcomatoid squamous cell skin carcinoma	C0349656
DOID:5530	thymus squamous cell carcinoma	C1336082
DOID:4201	peroneal neuropathy	C0747533
DOID:5532	ovarian squamous cell neoplasm	C1518739
DOID:11360	Phlebotomus fever	C0030372
DOID:4206	childhood brain stem neoplasm	C1332951
DOID:5537	squamous cell bile duct carcinoma	C0861861
DOID:6869	parasagittal meningioma	C0751304
DOID:11364	lens subluxation	C0023316
DOID:4207	childhood infratentorial neoplasm	C1332973
DOID:5538	external ear squamous cell carcinoma	C1333494
DOID:6868	mediastinal malignant lymphoma	C1334665
DOID:5539	ureter squamous cell carcinoma	C1336879
DOID:12697	locked-in syndrome	C0023944
DOID:4209	brainstem intraparenchymal clear cell meningioma	C1332612
DOID:10035	asymptomatic neurosyphilis	C0153167
DOID:10034	eye accommodation disease	C0152198
DOID:10033	cycloplegia	C0235238
DOID:10032	hyperlucent lung	C0524799
DOID:12657	vestibulocochlear nerve disease	C0001163
DOID:10031	compensatory emphysema	C0155918
DOID:10030	interstitial emphysema	C1370824
DOID:11328	schizophreniform disorder	C0036358
DOID:11329	ainhum	C0001860
DOID:5560	mediastinal mesenchymal tumor	C1334669
DOID:4230	smooth muscle cancer	C1334620
DOID:5561	gastric teratoma	C1333790
DOID:4235	spindle cell sarcoma	C0205945
DOID:5566	mature teratoma	C1368910
DOID:6898	ovary mixed epithelial carcinoma	C0279392
DOID:4236	carcinosarcoma	C0007140
DOID:4236	carcinosarcoma	C0206627
DOID:4236	carcinosarcoma	C1334603
DOID:5567	ovarian germ cell teratoma	C0280131
DOID:5568	mediastinum teratoma	C1334682
DOID:6899	malignant ovarian mixed epithelial neoplasm	C1518232
DOID:4231	histiocytoma	C1509147
DOID:4232	extraosseous Ewing's sarcoma	C1333514
DOID:5563	malignant teratoma	C0334520
DOID:5563	malignant teratoma	C0855163
DOID:4233	clear cell sarcoma	C0206651
DOID:4233	clear cell sarcoma	C1332198
DOID:5564	fallopian tube teratoma	C1517127
DOID:5565	adult teratoma	C1368898
DOID:11330	erysipelas	C0014733
DOID:12661	tooth ankylosis	C0155930
DOID:4239	alveolar soft part sarcoma	C0206657
DOID:4239	alveolar soft part sarcoma	C0279544
DOID:4239	alveolar soft part sarcoma	C0279985
DOID:10027	tabes dorsalis	C0039223
DOID:12662	paracoccidioidomycosis	C0030409
DOID:12663	blastomycosis	C0005716
DOID:13994	cleidocranial dysplasia	C0008928
DOID:10024	migraine with aura	C0154723
DOID:11335	sarcoidosis	C0036202
DOID:13996	small intestine lymphoma	C0278805
DOID:10022	ampulla of Vater neoplasm	C0345916
DOID:11336	rhinoscleroma	C0035468
DOID:12667	binocular vision disease	C0005461
DOID:13999	contact blepharoconjunctivitis	C0155150
DOID:10021	duodenum cancer	C0153426
DOID:10021	duodenum cancer	C0541912
DOID:11337	Lemierre's syndrome	C0027537
DOID:12668	abnormal retinal correspondence	C0155010
DOID:10020	ampulla of Vater cancer	C0153454
DOID:11338	tetanus	C0039614
DOID:11339	pneumocystosis	C1535939
DOID:5550	choriocarcinoma of ovary	C0346181
DOID:6880	small bowel fibrosarcoma	C1335994
DOID:5556	testicular malignant germ cell cancer	C0855197
DOID:6886	ureter small cell carcinoma	C1336878
DOID:4226	endometrial stromal sarcoma	C0206630
DOID:5557	testicular germ cell cancer	C1336708
DOID:4227	uterine corpus endometrial stromal sarcoma	C1519848
DOID:4227	uterine corpus endometrial stromal sarcoma	C1519849
DOID:6888	ureter transitional cell carcinoma	C0577692
DOID:5551	choriocarcinoma of the testis	C0238449
DOID:5553	pineal region choriocarcinoma	C1335414
DOID:4223	pyoderma	C0034212
DOID:10017	multiple endocrine neoplasia type 1	C0025267
DOID:5559	mediastinal cancer	C0025063
DOID:5559	mediastinal cancer	C0153504
DOID:10016	multiple endocrine neoplasia type 2B	C0025269
DOID:11342	arcus senilis	C0003742
DOID:11343	scleral disease	C0036412
DOID:0111030	hemochromatosis type 3	C1858664
DOID:736	male urethral cancer	C1518164
DOID:734	urethra cancer	C0153620
DOID:734	urethra cancer	C0700101
DOID:732	urethral disease	C0041969
DOID:731	urinary system benign neoplasm	C0042076
DOID:730	urethral benign neoplasm	C0041971
DOID:738	female urethral cancer	C1517154
DOID:5500	cellular ependymoma	C1384403
DOID:5501	Pediculus humanus capitis infestation	C0030757
DOID:5502	lice infestation	C0030756
DOID:5503	spinal cord ependymoma	C0238432
DOID:5508	brain stem ependymoma	C1332609
DOID:0111028	hemochromatosis type 4	C1853733
DOID:6839	breast intraductal proliferative lesion	C1334631
DOID:5504	tanycytic ependymoma	C1370500
DOID:5505	papillary ependymoma	C0334578
DOID:6838	rete ovarii cystadenofibroma	C1514906
DOID:6837	rete ovarii adenoma	C1514905
DOID:9095	esophagus carcinoma in situ	C0154059
DOID:746	adenomatoid tumor	C0206675
DOID:745	epididymis adenomatoid tumor	C1333415
DOID:743	dermatographia	C0343065
DOID:9091	REM sleep behavior disorder	C0751772
DOID:9098	sebaceous gland disease	C0029485
DOID:9097	erythematosquamous dermatosis	C0014747
DOID:6823	pancreatoblastoma	C0334489
DOID:750	peptic ulcer disease	C0030920
DOID:6827	pancreatic solid pseudopapillary carcinoma	C1336029
DOID:715	T-cell leukemia	C0023492
DOID:713	HCL-V	C0349633
DOID:712	refractory hematologic cancer	C1335724
DOID:711	refractory hairy cell leukemia	C0279780
DOID:710	splenic manifestation of leukemia	C1336065
DOID:718	autoimmune hemolytic anemia	C0002880
DOID:5522	basaloid squamous cell carcinoma	C1266005
DOID:6854	ethmoid sinus ectopic meningioma	C1333475
DOID:5524	adenoid squamous cell carcinoma	C0334250
DOID:5524	adenoid squamous cell carcinoma	C0334393
DOID:6856	pineal region teratoma	C1335419
DOID:5525	anal squamous cell carcinoma	C1412036
DOID:5520	head and neck squamous cell carcinoma	C1168401
DOID:5521	keratinizing squamous cell carcinoma	C0334247
DOID:5526	middle ear squamous cell carcinoma	C1334762
DOID:6858	pineal region immature teratoma	C1335416
DOID:5527	ampulla of Vater squamous cell carcinoma	C1332251
DOID:6857	pineal region mature teratoma	C1335417
DOID:5528	rectum squamous cell carcinoma	C1335690
DOID:5529	lacrimal gland squamous cell carcinoma	C1334360
DOID:724	female stress incontinence	C0038437
DOID:720	normocytic anemia	C0085577
DOID:728	nodular episcleritis	C0155352
DOID:727	premenstrual tension	C0376356
DOID:5511	dysgerminoma of ovary	C0346185
DOID:5513	Pediculus humanus corporis infestation	C0030758
DOID:6845	infiltrating ureter transitional cell carcinoma	C1512750
DOID:5514	breast squamous cell carcinoma	C1336079
DOID:6844	kidney pelvis sarcomatoid transitional cell carcinoma	C1335752
DOID:6841	flat ductal epithelial atypia	C1333620
DOID:5510	pineal dysgerminoma	C1335415
DOID:5519	colon squamous cell carcinoma	C1333100
DOID:5515	nasal cavity squamous cell carcinoma	C0280333
DOID:6847	adult botryoid rhabdomyosarcoma	C1332185
DOID:5516	gastric squamous cell carcinoma	C1333789
DOID:6846	familial melanoma	C1512419
DOID:5517	stomach carcinoma	C0699791
DOID:5518	penis squamous cell carcinoma	C0238348
DOID:5518	penis squamous cell carcinoma	C1336081
DOID:6848	adult vagina botryoid rhabdomyosarcoma	C1515893
DOID:778	delusional disorder	C0011251
DOID:9060	pityriasis versicolor	C0040262
DOID:0111078	tibial muscular dystrophy	C1838244
DOID:0111079	birdshot chorioretinopathy	C1853959
DOID:10095	intracranial abscess	C0021874
DOID:775	intraocular lymphoma	C0281658
DOID:774	retina lymphoma	C0339556
DOID:0111070	congenital bile acid synthesis defect 3	C3151147
DOID:9065	leishmaniasis	C0023281
DOID:0111071	congenital bile acid synthesis defect 1	C1843116
DOID:0111072	myostatin-related muscle hypertrophy	C2931112
DOID:9063	Ritter's disease	C0038165
DOID:784	chronic kidney disease	C0022661
DOID:782	renal infectious disease	C0021313
DOID:780	placenta disease	C0032045
DOID:780	placenta disease	C0032962
DOID:780	placenta disease	C0151864
DOID:780	placenta disease	C1335423
DOID:0111065	autosomal recessive distal spinal muscular atrophy 2	C1854023
DOID:10087	gastric leiomyoma	C0238440
DOID:0111068	congenital bile acid synthesis defect 4	C1858328
DOID:0111069	congenital bile acid synthesis defect 2	C1856127
DOID:786	laryngeal disease	C0023051
DOID:10081	syphilitic encephalitis	C0153168
DOID:10080	sparganosis	C0037753
DOID:9053	bladder carcinoma in situ	C0154091
DOID:790	ocular hypotension	C0028841
DOID:0111052	Scott syndrome	C0796149
DOID:758	situs inversus	C0037221
DOID:0111054	von Willebrand's disease 3	C1264041
DOID:754	bladder tuberculosis	C0152793
DOID:9080	macroglobulinemia	C0024419
DOID:9080	macroglobulinemia	C2936755
DOID:752	peptic ulcer perforation	C0030925
DOID:9087	anal carcinoma in situ	C0154064
DOID:9088	parapsoriasis	C0030491
DOID:0111050	Quebec platelet disorder	C1866423
DOID:6812	childhood pilocytic astrocytoma	C1332995
DOID:6811	juvenile pilocytic astrocytoma	C0280783
DOID:0111049	platelet-type bleeding disorder 17	C0272302
DOID:9072	lethal midline granuloma	C0018197
DOID:769	neuroblastoma	C0027819
DOID:768	retinoblastoma	C0035335
DOID:0111044	gray platelet syndrome	C0272302
