DO_ID	ICD10CM_ID
DOID:0060678	I47.2
DOID:0060677	I47.2
DOID:0060679	I47.2
DOID:0060670	Q28.3
DOID:4250	H11.82
DOID:0060672	G31.0
DOID:4251	H10-H11
DOID:4251	H11.9
DOID:0060671	Q28.3
DOID:0060674	I47.2
DOID:0060673	Q13.4
DOID:0060676	I47.2
DOID:0060675	I47.2
DOID:4257	M89.8
DOID:4258	Q87.0
DOID:4254	Q78.2
DOID:5587	T79.6
DOID:11394	J80
DOID:11396	J81
DOID:11396	J81.1
DOID:0060689	L65.8
DOID:0060688	Q28.2
DOID:5572	Q87.3
DOID:4249	A81.82
DOID:0060690	H90.3
DOID:5576	F52.32
DOID:10039	A50.4
DOID:10039	A50.40
DOID:10039	A50.5
DOID:10039	A50.59
DOID:10079	B69
DOID:10079	B69.9
DOID:11367	Q12.3
DOID:12698	N62
DOID:0060699	E83.5
DOID:10075	B70.0
DOID:799	I83.90
DOID:10074	B71.0
DOID:0060692	D69.8
DOID:4271	B60.8
DOID:0060691	D69.4
DOID:0060694	G11.0
DOID:0060693	E70.8
DOID:0060696	G25.8
DOID:0060695	G25.8
DOID:0060698	G25.8
DOID:0060697	G25.8
DOID:11371	K59.1
DOID:11372	K59.3
DOID:11374	K59.4
DOID:11379	B83.1
DOID:11382	H16.4
DOID:11382	H16.40
DOID:11383	Q53.9
DOID:11385	F80.1
DOID:12678	E83.52
DOID:12683	A88.1
DOID:12683	H81.2
DOID:12683	H81.20
DOID:11353	N32.3
DOID:11354	N21.0
DOID:12685	F80.2
DOID:10003	H90.5
DOID:10003	H91.9
DOID:11355	N21.0
DOID:4203	C71.7
DOID:4205	C71.6
DOID:11360	A93.1
DOID:11364	H27.11
DOID:12697	G83.5
DOID:10035	A52.2
DOID:10034	H52.5
DOID:10033	H52.52
DOID:12657	H93.3
DOID:12657	H93.3X
DOID:10031	J98.3
DOID:10030	J98.2
DOID:11328	F20.81
DOID:11329	L94.6
DOID:11330	A46
DOID:12661	K03.5
DOID:10027	A52.11
DOID:12662	B41
DOID:12662	B41.9
DOID:12663	B40
DOID:12663	B40.9
DOID:13994	Q74.0
DOID:10024	G43.1
DOID:10024	G43.109
DOID:11335	D80-D89
DOID:11335	D86
DOID:11335	D86.9
DOID:12667	H53.30
DOID:13999	H10.53
DOID:10021	C17.0
DOID:12668	H53.31
DOID:10020	C24.1
DOID:11338	A35
DOID:11339	B59
DOID:4223	L08.0
DOID:10017	E31.21
DOID:5559	C38.3
DOID:10016	E31.23
DOID:11342	H18.41
DOID:11343	H15
DOID:11343	H15.9
DOID:0111030	E83.1
DOID:0111031	E83.1
DOID:0111033	E83.1
DOID:734	C68.0
DOID:0111034	E83.1
DOID:0111035	F01.1
DOID:732	N36.9
