DO_ID	MESH_ID
DOID:11389	D013354
DOID:4251	D003229
DOID:4252	D038261
DOID:5583	D018286
DOID:0060673	C537884
DOID:4257	D006958
DOID:4258	D010855
DOID:4253	D008557
DOID:4254	D010026
DOID:5587	D054061
DOID:11394	D012128
DOID:11396	D011654
DOID:0060688	D002538
DOID:10041	D004416
DOID:0060680	C563184
DOID:5572	D001506
DOID:5577	D015408
DOID:4247	D023903
DOID:4248	D023921
DOID:4249	D016098
DOID:5574	D003969
DOID:10039	D009494
DOID:10079	D003551
DOID:12698	D006177
DOID:10075	D004169
DOID:799	D014648
DOID:10074	D006925
DOID:10073	C536775
DOID:4271	D016881
DOID:0060694	C563363
DOID:0060693	C563156
DOID:0060696	D000071017
DOID:4270	D016890
DOID:11372	D008531
DOID:11379	D058429
DOID:4260	D020235
DOID:4265	D018229
DOID:4267	D000405
DOID:11382	D016510
DOID:11383	D003456
DOID:11387	D020802
DOID:12678	D006934
DOID:12679	D009397
DOID:5546	D005266
DOID:4210	D008579
DOID:12680	D020828
DOID:12683	D020338
DOID:4217	D001948
DOID:11353	C562406
DOID:10003	D006313
DOID:10003	D006316
DOID:10003	D006319
DOID:11355	D001744
DOID:12689	D009464
DOID:4203	D020295
DOID:4205	D002528
DOID:4201	D020427
DOID:11360	D010217
DOID:6869	D008579
DOID:11364	D007906
DOID:12697	D011782
DOID:10035	D009494
DOID:10032	D019568
DOID:12657	D000160
DOID:11328	D011618
DOID:11329	D000387
DOID:4235	D012509
DOID:4236	D002296
DOID:4236	D018199
DOID:4236	D018200
DOID:4231	D051642
DOID:5563	D013724
DOID:4233	D018227
DOID:11330	D004886
DOID:12661	D020254
DOID:4239	D018234
DOID:10027	D013606
DOID:12662	D010229
DOID:12663	D001759
DOID:13994	D002973
DOID:10024	D020325
DOID:11335	D012507
DOID:11336	D012226
DOID:10021	D004379
DOID:11337	D005674
DOID:11338	D013742
DOID:11339	D011020
DOID:4226	D018203
DOID:5557	C563236
DOID:4223	D011711
DOID:10017	D018761
DOID:5559	D008479
DOID:10016	D018814
DOID:11342	D001112
DOID:11343	D015422
DOID:0111030	C537248
DOID:734	D014523
DOID:0111034	C537247
DOID:732	D014522
DOID:731	D014571
DOID:730	D014523
DOID:5500	D004806
DOID:5502	D010373
DOID:0111028	C537249
DOID:5505	D004806
DOID:746	D018254
DOID:9091	D020187
DOID:6823	C537162
DOID:750	D010437
DOID:715	D015458
DOID:718	D000744
DOID:5520	C535575
DOID:727	D011293
DOID:778	D012563
DOID:9060	D014010
DOID:0111078	C536815
DOID:0111079	C537630
DOID:775	D064090
DOID:0111070	C566340
DOID:9065	D007896
DOID:0111071	C535442
DOID:9063	D013206
DOID:784	D007676
DOID:780	D010922
DOID:780	D011248
DOID:0111068	C535444
DOID:0111069	C535443
DOID:786	D007818
DOID:10080	D013031
DOID:0111060	C536605
DOID:790	D015814
DOID:758	D012857
DOID:0111054	D056729
DOID:9080	D008258
DOID:752	D010439
DOID:9088	D010267
