DO_ID	OMIM_ID
DOID:0060678	614916
DOID:0060677	614021
DOID:0060679	615441
DOID:0060670	603284
DOID:0060672	607485
DOID:4252	203450
DOID:0060674	PS604772
DOID:0060673	604229
DOID:0060676	611938
DOID:0060675	604772
DOID:4257	114000
DOID:4258	261800
DOID:4253	155950
DOID:0060689	209500
DOID:0060688	108010
DOID:0060681	PS600513
DOID:0060680	600510
DOID:0060683	603204
DOID:0060682	600513
DOID:5572	130650
DOID:0060685	610353
DOID:0060684	605375
DOID:0060686	615005
DOID:4249	137440
DOID:0060690	609129
DOID:0111096	613390
DOID:11367	610256
DOID:0060699	PS145980
DOID:0111097	609054
DOID:0111098	300514
DOID:0111099	125850
DOID:799	192200
DOID:0060692	609821
DOID:0060691	187800
DOID:0060694	601238
DOID:0111090	617244
DOID:0060693	300615
DOID:0111091	609053
DOID:0060696	149400
DOID:0111092	613951
DOID:0111093	615272
DOID:0060698	614618
DOID:0111094	610832
DOID:0060697	614619
DOID:0111095	227650
DOID:4279	604451
DOID:0111085	617247
DOID:0111086	614082
DOID:0111087	227645
DOID:0111088	603467
DOID:0111089	605724
DOID:0111080	617243
DOID:0111081	616435
DOID:0111082	614083
DOID:0111083	227646
DOID:0111084	600901
DOID:11383	219050
DOID:11353	109820
DOID:10003	304400
DOID:11329	103400
DOID:12661	157950
DOID:4239	606243
DOID:13994	119600
DOID:13994	216330
DOID:10024	609179
DOID:10024	609670
DOID:11335	612388
DOID:5557	273300
DOID:5557	300228
DOID:10017	131100
DOID:10016	162300
DOID:11342	107800
DOID:0111030	604250
DOID:0111031	615517
DOID:0111032	613313
DOID:0111033	601195
DOID:0111035	125310
DOID:0111036	616779
DOID:0111037	606664
DOID:0111027	602390
DOID:0111028	606069
DOID:0111029	235200
DOID:0111020	612775
DOID:0111021	613660
DOID:0111022	614500
DOID:0111023	615163
DOID:0111024	615374
DOID:743	125635
DOID:0111025	615860
DOID:0111026	615973
DOID:0111016	608194
DOID:0111017	610283
DOID:0111018	610381
DOID:0111019	612657
DOID:0111010	600977
DOID:0111011	601777
DOID:0111012	603649
DOID:0111013	604116
DOID:0111014	605549
DOID:0111015	607476
DOID:718	205700
DOID:5520	275355
DOID:0111005	120970
DOID:0111006	300085
DOID:0111007	300476
DOID:0111008	304020
DOID:0111009	600624
DOID:0111000	610188
DOID:0111001	610688
DOID:0111002	611560
DOID:0111003	612291
DOID:0111004	612285
DOID:0111074	113900
DOID:0111075	140400
DOID:0111076	604559
DOID:0111077	266200
DOID:0111078	600334
DOID:0111079	605808
DOID:0111070	613812
DOID:0111071	607765
DOID:0111072	614160
DOID:0111073	PS113900
DOID:0111063	211900
DOID:0111064	604320
DOID:0111065	605726
DOID:0111066	616278
DOID:0111067	617308
DOID:0111068	214950
DOID:0111069	235555
DOID:0111060	145701
DOID:0111061	605019
DOID:0111062	615558
DOID:0111052	262890
DOID:0111053	615193
DOID:758	270100
DOID:0111054	277480
DOID:0111055	616913
DOID:0111056	177820
DOID:0111057	614201
DOID:0111058	605735
DOID:0111059	153670
DOID:0111050	601709
DOID:0111051	615888
DOID:0111049	187900
DOID:0111041	261750
DOID:0111042	306000
DOID:769	613015
DOID:769	613016
DOID:0111043	613027
DOID:768	180200
DOID:0111044	139090
DOID:0111045	614200
DOID:0111046	608404
DOID:0111047	614158
DOID:0111048	616176
DOID:9074	152700
DOID:9074	300809
DOID:9074	605480
DOID:9074	608437
DOID:9074	609903
DOID:9074	609939
DOID:9074	610065
DOID:9074	610066
DOID:9074	612254
DOID:9074	612378
DOID:9074	613145
DOID:9074	614420
DOID:0111040	300559
DOID:0111038	614300
DOID:0111039	613752
DOID:9146	608207
DOID:9146	611381
DOID:9146	611382
DOID:9169	277970
DOID:9169	301000
DOID:9164	200400
DOID:701	125400
DOID:701	125420
DOID:705	535000
DOID:9119	601626
DOID:12638	179010
DOID:12638	300711
DOID:12638	610260
DOID:12638	612017
DOID:12638	612525
DOID:12642	142400
DOID:0060601	262850
DOID:0060600	218000
DOID:0060603	106190
DOID:0060602	614307
DOID:0060605	107250
DOID:0060604	106280
DOID:0060609	210720
DOID:0060608	210710
DOID:0060612	615812
DOID:0060611	PS605552
DOID:13941	193007
DOID:13941	613106
DOID:0060614	181450
DOID:0060613	303400
DOID:0060610	155310
DOID:13922	610247
DOID:13922	613412
DOID:0060638	610199
DOID:0060639	606176
DOID:4297	106700
DOID:0060644	600092
DOID:0060647	613630
DOID:0060646	603523
DOID:0060649	217700
DOID:12603	308960
DOID:0060641	612651
DOID:0060640	602473
DOID:0060643	613806
DOID:0060642	226600
DOID:0060656	242300
DOID:0060655	PS242300
DOID:0060650	222730
DOID:0060652	133100
DOID:0060651	153640
DOID:0060651	153650
DOID:0060651	155100
DOID:0060651	605249
DOID:13909	303800
DOID:0060668	206500
DOID:13910	303900
DOID:0060799	300260
DOID:0060798	612438
DOID:0060791	616140
DOID:0060790	260600
DOID:0060793	610532
DOID:0060792	616494
DOID:0060795	616881
DOID:0060794	607694
DOID:0060797	614381
DOID:0060796	616683
DOID:5453	265450
DOID:4154	125490
DOID:4154	125500
DOID:5485	300813
DOID:12580	123450
DOID:11252	206200
DOID:12583	192430
DOID:12557	126800
DOID:12557	604356
DOID:12559	259750
DOID:5425	608115
DOID:5426	300510
DOID:5426	300511
DOID:5426	300604
DOID:5426	311360
DOID:5426	608996
DOID:5426	611548
DOID:5426	612310
DOID:5426	612964
DOID:5426	615723
DOID:5426	615724
DOID:5419	181500
DOID:5419	181510
DOID:5419	600511
DOID:5419	600850
DOID:5419	603013
DOID:5419	603175
DOID:5419	603176
DOID:5419	603206
DOID:5419	603342
DOID:5419	604906
DOID:5419	605419
DOID:5419	608078
DOID:5419	608543
DOID:5419	612361
DOID:5419	613025
DOID:5419	613950
DOID:5419	613959
DOID:5419	615232
DOID:11202	600166
DOID:11211	231300
DOID:13884	163800
DOID:13884	608567
DOID:856	253260
DOID:859	253270
DOID:6713	601367
DOID:0111137	612526
DOID:0111138	613327
DOID:0111130	613237
DOID:0111131	614131
DOID:0111132	616002
DOID:0111133	616032
DOID:0111134	616220
DOID:0111135	608594
