DO_ID	ORPHANET_ID
DOID:0060670	221061
DOID:0060672	282
DOID:0060671	221061
DOID:0060674	3286
DOID:0060673	708
DOID:0060689	86819
DOID:0060688	46724
DOID:0060681	98784
DOID:5572	116
DOID:0060699	405
DOID:0060692	36355
DOID:0060691	140957
DOID:0060694	94122
DOID:0060693	3057
DOID:0060696	3197
DOID:0060695	3197
DOID:0060698	3197
DOID:0060697	3197
DOID:13994	1452
DOID:11335	797
DOID:5557	3636504
DOID:10017	652
DOID:10016	247709
DOID:0111030	225123
DOID:0111031	247790
DOID:0111033	139507
DOID:0111034	79230
DOID:0111037	289891
DOID:0111028	139491
DOID:0111029	465508
DOID:0111077	766
DOID:0111078	609
DOID:0111079	179
DOID:0111070	79302
DOID:0111071	79301
DOID:0111072	275534
DOID:0111073	871
DOID:0111063	306661
DOID:0111064	98920
DOID:0111065	139552
DOID:0111068	79095
DOID:0111069	79303
DOID:0111060	1023
DOID:0111052	806
DOID:0111054	166096
DOID:0111055	466806
DOID:0111056	52530
DOID:0111057	98885
DOID:0111050	220436
DOID:0111051	420566
DOID:0111041	79240
DOID:769	635
DOID:0111045	98886
DOID:0111048	438207
DOID:9074	536
DOID:0111040	715
DOID:0111038	289290
DOID:0111039	88618
DOID:9146	507
DOID:701	1635
DOID:0060601	79
DOID:0060600	1496
DOID:0060605	88632
DOID:0060609	2637
DOID:0060608	2636
DOID:0060614	3138
DOID:0060613	324601
DOID:13945	136
DOID:0060610	2241
DOID:13922	73247
DOID:0060638	79118
DOID:0060645	324964
DOID:0060644	1422
DOID:0060646	264688
DOID:0060641	199332
DOID:0060640	51188
DOID:0060643	171
DOID:0060642	79408
DOID:0060656	100976
DOID:0060656	281122
DOID:0060656	313
DOID:0060655	281097
DOID:0060650	2195
DOID:0060652	90042
DOID:0060651	182050
DOID:13909	319698
DOID:0060653	137783
DOID:13911	49382
DOID:0060668	1048
DOID:0060799	85281
DOID:0060798	139441
DOID:0060791	438114
DOID:0060790	280293
DOID:0060793	85163
DOID:0060794	137639
DOID:0060794	447893
DOID:0060794	447896
DOID:0060794	77295
DOID:5426	619
DOID:11202	99878
DOID:12554	2134
DOID:13884	166282
DOID:0111138	228429
DOID:5408	280110
DOID:898	730
DOID:0060700	93372
DOID:0060702	101050
DOID:0060701	101049
DOID:0060703	53271
DOID:0060713	457
DOID:1926	355
DOID:0060728	404454
DOID:1935	110
DOID:1933	783
DOID:0060733	79403
DOID:0060732	261112
DOID:0060735	79396
DOID:0060737	79404
DOID:0060736	79401
DOID:0060739	2438
DOID:0060738	79402
DOID:0060738	89840
DOID:0060731	661
DOID:0060730	256
DOID:0060744	705
DOID:0060743	79311
DOID:0060746	75376
DOID:0060745	75376
DOID:0060748	101046
DOID:0060747	93293
DOID:0060749	163717
DOID:0060740	27
DOID:0060742	79310
DOID:0060741	280183
DOID:0060755	98819
DOID:0060754	101046
DOID:0060757	3152
DOID:0060756	3152
DOID:0060759	101092
DOID:0060759	183666
DOID:0060758	101089
DOID:0060758	183666
DOID:0060751	101046
DOID:0060750	163717
DOID:0060753	98819
DOID:0060752	163717
DOID:0060766	3107
DOID:0060766	97360
DOID:13810	406
DOID:0060765	3107
DOID:0060765	97360
DOID:0060768	819
DOID:0060767	3107
DOID:0060767	97360
DOID:0060769	169095
DOID:0060760	101091
DOID:0060760	183666
DOID:0060762	1662
DOID:0060764	1507
DOID:0060764	97360
DOID:0060763	792
DOID:0060777	103908
DOID:0060776	92050
DOID:0060779	83620
DOID:0060778	329242
DOID:0060770	860
DOID:0060773	3253
DOID:0060775	2290
DOID:0060787	280282
DOID:0060789	280288
DOID:0060780	314373
DOID:0060782	1896
DOID:0060781	103908
DOID:0060784	1896
DOID:0060783	1896
DOID:0060785	99027
DOID:10283	1331
DOID:7998	99819
DOID:6691	1414
DOID:6688	3261
DOID:4028	95429
DOID:6612	2968
DOID:12801	581
DOID:0060801	85282
DOID:0060800	1568
DOID:0060800	85335
DOID:0060803	289483
DOID:0060802	3063
DOID:0060805	2958
DOID:0060804	85290
DOID:0060807	163937
DOID:0060806	93952
DOID:0060809	85279
DOID:0060808	85274
DOID:1852	172
DOID:1852	65682
DOID:1852	69665
DOID:0060810	85295
DOID:0060812	85287
DOID:0060811	85328
DOID:0060814	3459
DOID:0060813	85324
DOID:0060816	52055
DOID:0060815	85283
DOID:1882	1478
DOID:0060818	85273
DOID:0060817	466791
DOID:0060821	323
DOID:0060821	776
DOID:0060820	163956
DOID:0060823	364028
DOID:0060822	85293
DOID:0060825	85278
DOID:0060824	163953
DOID:0060827	3077
DOID:0060826	85286
DOID:0060829	3056
DOID:0060828	324410
DOID:0060832	79476
DOID:0060831	381
DOID:0060834	79478
DOID:0060833	79477
DOID:0060836	2542
DOID:0060835	2542
DOID:0060838	2542
DOID:0060837	251279
DOID:0060830	85321
DOID:0060839	2542
DOID:0060843	640
DOID:0060842	2542
DOID:11555	98974
DOID:0060844	649
DOID:0060847	240
DOID:0060849	2788
DOID:0060848	101039
DOID:0060841	2542
DOID:0060840	2542
DOID:0060854	171876
DOID:0060854	756
DOID:0060853	1713
DOID:0060856	97548
DOID:0060855	756
DOID:0060858	163690
DOID:0060857	3157
DOID:12859	1429
DOID:0060850	675
DOID:0060852	2670
DOID:0060851	704
DOID:0060867	210548
DOID:0060869	67042
DOID:0060868	135
DOID:0060861	1106
DOID:0060863	99001
DOID:0060862	87503
DOID:0060875	231692
DOID:0060878	2237
DOID:0060877	455
DOID:0060879	34526
DOID:0060870	631
DOID:0060872	231679
DOID:0060871	477
DOID:0060874	231671
DOID:0060873	231662
DOID:0060886	2780
DOID:0060889	2970
DOID:0060888	420611
DOID:12849	106
DOID:0060881	2196
DOID:0060880	31043
DOID:0060883	30924
DOID:0060882	34527
DOID:0060885	34528
DOID:0060884	34527
DOID:0060890	99889
DOID:0060892	411602
DOID:0060891	391411
DOID:0060894	391411
DOID:5212	137
DOID:678	683
DOID:676	92
DOID:12798	79213
DOID:10126	156071
DOID:0110066	1031
DOID:628	101972
DOID:0110034	88917
DOID:0110033	88919
DOID:0110032	88918
DOID:0110031	93616
DOID:0110030	847
DOID:0110029	98791
DOID:1697	79354
DOID:674	99772
DOID:0060902	89844
DOID:0060901	33226
DOID:1793	1333
DOID:1793	217074
DOID:0060911	401996
DOID:0110006	67048
DOID:0110004	67047
DOID:0110003	445038
DOID:0110002	67046
DOID:0110001	352328
DOID:0110000	66634
DOID:1712	402075
DOID:12712	655
DOID:12721	251
DOID:12236	186
DOID:0090091	325448
