DO_ID	DO_NAME	PARENT_DO_ID	LEVEL
DOID:0060678	catecholaminergic polymorphic ventricular tachycardia 4	DOID:0060674	5
DOID:11389	subdural empyema	DOID:331	3
DOID:0060677	catecholaminergic polymorphic ventricular tachycardia 3	DOID:0060674	5
DOID:0060679	catecholaminergic polymorphic ventricular tachycardia 5	DOID:0060674	5
DOID:10054	skin amelanotic melanoma	DOID:8923	6
DOID:0060670	cerebral cavernous malformation 2	DOID:0060669	6
DOID:5580	pancreatic gastrinoma	DOID:1799	6
DOID:4250	conjunctivochalasis	DOID:4251	6
DOID:0060672	Grn-related frontotemporal lobar degeneration with Tdp43 inclusions	DOID:9255	6
DOID:4251	conjunctival disease	DOID:5614	5
DOID:0060671	cerebral cavernous malformation 3	DOID:0060669	6
DOID:4252	Alexander disease	DOID:10579	6
DOID:5583	lung giant cell carcinoma	DOID:4556	8
DOID:0060674	catecholaminergic polymorphic ventricular tachycardia	DOID:10273	4
DOID:0060673	Peters anomaly	DOID:10124	6
DOID:0060676	catecholaminergic polymorphic ventricular tachycardia 2	DOID:0060674	5
DOID:0060675	catecholaminergic polymorphic ventricular tachycardia 1	DOID:0060674	5
DOID:4257	Caffey disease	DOID:3342	5
DOID:5588	lung papillary adenocarcinoma	DOID:3910	8
DOID:4258	Weissenbacher-Zweymuller syndrome	DOID:2256	6
DOID:4253	melorheostosis	DOID:4254	6
DOID:4254	osteosclerosis	DOID:0080005	5
DOID:5585	Ferguson-Smith tumor	DOID:3149	8
DOID:11390	cerebral arteritis	DOID:6713	5
DOID:5587	Volkmann contracture	DOID:65	3
DOID:11394	adult respiratory distress syndrome	DOID:11162	5
DOID:11396	pulmonary edema	DOID:11162	5
DOID:10047	nodular malignant melanoma	DOID:8923	6
DOID:0060689	atrichia with papular lesions	DOID:987	5
DOID:0060688	arteriovenous malformations of the brain	DOID:11294	5
DOID:10044	balloon cell malignant melanoma	DOID:8923	6
DOID:10041	dysplastic nevus syndrome	DOID:0050736	4
DOID:10040	malignant eyelid melanoma	DOID:8923	6
DOID:0060681	autosomal dominant nocturnal frontal lobe epilepsy	DOID:3331	7
DOID:0060680	pigment dispersion syndrome	DOID:5614	5
DOID:5570	malignant acrospiroma	DOID:2095	6
DOID:0060683	autosomal dominant nocturnal frontal lobe epilepsy 2	DOID:0060681	8
DOID:0060682	autosomal dominant nocturnal frontal lobe epilepsy 1	DOID:0060681	8
DOID:5572	Beckwith-Wiedemann syndrome	DOID:225	1
DOID:0060685	autosomal dominant nocturnal frontal lobe epilepsy 4	DOID:0060681	8
DOID:0060684	autosomal dominant nocturnal frontal lobe epilepsy 3	DOID:0060681	8
DOID:0060686	autosomal dominant nocturnal frontal lobe epilepsy 5	DOID:0060681	8
DOID:0070004	myeloid neoplasm	DOID:4960	6
DOID:5577	gastrinoma	DOID:169	5
DOID:0070003	blastoma	DOID:0050687	3
DOID:4247	coronary restenosis	DOID:4248	6
DOID:4248	coronary stenosis	DOID:3393	5
DOID:5579	gastric gastrinoma	DOID:10534	5
DOID:4249	Gerstmann-Straussler-Scheinker syndrome	DOID:649	5
DOID:4242	kidney sarcoma	DOID:263	5
DOID:5574	VIPoma	DOID:169	5
DOID:0060690	autosomal dominant auditory neuropathy 1	DOID:0050564	6
DOID:5576	inhibited male orgasm	DOID:48	3
DOID:10039	late congenital syphilis	DOID:9856	5
DOID:0111096	Fanconi anemia complementation group O	DOID:13636	6
DOID:10079	cysticercosis	DOID:0050596	4
DOID:11367	congenital aphakia	DOID:110	6
DOID:12698	gynecomastia	DOID:1923	4
DOID:0060699	familial hypocalciuric hypercalcemia	DOID:12678	5
DOID:0111097	Fanconi anemia complementation group J	DOID:13636	6
DOID:0111098	Fanconi anemia complementation group B	DOID:13636	6
DOID:0111099	maturity-onset diabetes of the young type 1	DOID:0050524	2
DOID:10075	diphyllobothriasis	DOID:883	3
DOID:799	varicose veins	DOID:866	4
DOID:10074	hymenolepiasis	DOID:883	3
DOID:10073	syphilitic meningitis	DOID:9470	5
DOID:0060692	platelet-type bleeding disorder 8	DOID:2214	4
DOID:10071	larynx squamous papilloma	DOID:2598	5
DOID:4271	microsporidiosis	DOID:2473	4
DOID:0060691	platelet-type bleeding disorder 16	DOID:2214	4
DOID:10070	larynx leiomyoma	DOID:2598	5
DOID:0060694	Cayman type cerebellar ataxia	DOID:0050753	6
DOID:0111090	Fanconi anemia complementation group R	DOID:13636	6
DOID:0060693	Brunner Syndrome	DOID:9252	3
DOID:0111091	Fanconi anemia complementation group I	DOID:13636	6
DOID:0060696	hyperekplexia 1	DOID:0060695	3
DOID:0111092	Fanconi anemia complementation group P	DOID:13636	6
DOID:0060695	hyperekplexia	DOID:863	2
DOID:0111093	Fanconi anemia complementation group Q	DOID:13636	6
DOID:0060698	hyperekplexia 3	DOID:0060695	3
DOID:0111094	Fanconi anemia complementation group N	DOID:13636	6
DOID:0060697	hyperekplexia 2	DOID:0060695	3
DOID:0111095	Fanconi anemia complementation group A	DOID:13636	6
DOID:4270	encephalitozoonosis	DOID:4271	5
DOID:4279	infundibulocystic basal cell carcinoma	DOID:2513	7
DOID:4277	penis basal cell carcinoma	DOID:3449	7
DOID:4278	scrotum basal cell carcinoma	DOID:3445	7
DOID:11371	functional diarrhea	DOID:5353	4
DOID:11372	megacolon	DOID:5353	4
DOID:11374	anal spasm	DOID:3128	5
DOID:10069	subglottis neoplasm	DOID:2598	5
DOID:0111085	Fanconi anemia complementation group U	DOID:13636	6
DOID:0111086	Fanconi anemia complementation group G	DOID:13636	6
DOID:11379	gnathomiasis	DOID:883	3
DOID:0111087	Fanconi anemia complementation group C	DOID:13636	6
DOID:0111088	Fanconi anemia complementation group F	DOID:13636	6
DOID:0111089	Fanconi anemia complementation group D1	DOID:13636	6
DOID:4260	gait apraxia	DOID:0060135	6
DOID:5591	eccrine papillary adenocarcinoma	DOID:4920	8
DOID:5592	breast papillary carcinoma	DOID:3459	6
DOID:5593	gastric papillary adenocarcinoma	DOID:3717	7
DOID:0111080	Fanconi anemia complementation group V	DOID:13636	6
DOID:0111081	Fanconi anemia complementation group T	DOID:13636	6
DOID:0111082	Fanconi anemia complementation group L	DOID:13636	6
DOID:0111083	Fanconi anemia complementation group D2	DOID:13636	6
DOID:0111084	Fanconi anemia complementation group E	DOID:13636	6
DOID:5590	aggressive digital papillary adenocarcinoma	DOID:3451	6
DOID:5599	precursor T-lymphoblastic lymphoma/leukemia	DOID:5600	8
DOID:5595	papillary thymic adenocarcinoma	DOID:4923	7
DOID:4265	angiomyoma	DOID:127	4
DOID:4266	intravascular angioleiomyoma	DOID:4265	5
DOID:5597	fallopian tube papillary adenocarcinoma	DOID:3706	8
DOID:4267	akinetic mutism	DOID:936	4
DOID:5598	fallopian tube serous adenocarcinoma	DOID:3706	8
DOID:11382	corneal neovascularization	DOID:4677	7
DOID:11383	cryptorchidism	DOID:0080015	1
DOID:11385	expressive language disorder	DOID:93	5
DOID:11387	epidural abscess	DOID:331	3
