MESH_ID	MESH_NAME	PARENT_MESH_ID	PARENT_MESH_CATEGORY	ROOT_MESH_CATEGORY	LEVEL
D000074043	Night Eating Syndrome	D001068	F03.400	F03	1
D000074042	Cerebral Intraventricular Hemorrhage	D002543	C10.228.140.300.535.200	C10	5
D000074042	Cerebral Intraventricular Hemorrhage	D002543	C14.907.253.573.200	C14	4
D000074042	Cerebral Intraventricular Hemorrhage	D002543	C23.550.414.913.100	C23	4
D000074021	Interatrial Block	D006327	C14.280.067.558	C14	3
D000074021	Interatrial Block	D006327	C14.280.123.500	C14	3
D000074021	Interatrial Block	D006327	C23.550.073.425	C23	3
D000074009	Tubular Sweat Gland Adenomas	D006607	C04.557.470.035.175	C04	4
D000074009	Tubular Sweat Gland Adenomas	D006607	C04.557.470.550.175	C04	4
D000074079	Undifferentiated Connective Tissue Diseases	D003240	C17.300	C17	1
D000074079	Undifferentiated Connective Tissue Diseases	D001327	C20.111	C20	1
D048550	Hepatic Insufficiency	D008107	C06.552	C06	1
D012587	Scimitar Syndrome	D008171	C08.381	C08	1
D012587	Scimitar Syndrome	D015619	C08.695	C08	1
D012587	Scimitar Syndrome	D054079	C14.240.850	C14	2
D012587	Scimitar Syndrome	D014652	C14.907	C14	1
D012587	Scimitar Syndrome	D054079	C16.131.240.850	C16	3
D012587	Scimitar Syndrome	D015619	C16.131.740	C16	2
D012585	Sciatica	D020426	C10.668.829.500.675	C10	4
D012585	Sciatica	D009437	C10.668.829.600	C10	3
D012585	Sciatica	D009437	C23.888.592.612.664	C23	4
D012593	Sclerema Neonatorum	D012868	C16.131.831	C16	2
D012593	Sclerema Neonatorum	D007232	C16.614	C16	1
D012593	Sclerema Neonatorum	D012868	C17.800.804	C17	2
D012594	Scleroderma, Localized	D003240	C17.300	C17	1
D012594	Scleroderma, Localized	D012871	C17.800	C17	1
D012592	Scleredema Adultorum	D017520	C17.300.550	C17	2
D012592	Scleredema Adultorum	D012871	C17.800	C17	1
D012598	Sclerosis	D010335	C23.550	C23	1
D012595	Scleroderma, Systemic	D003240	C17.300	C17	1
D012595	Scleroderma, Systemic	D012871	C17.800	C17	1
D012569	Schizotypal Personality Disorder	D010554	F03.675	F03	1
D012560	Schizophrenia, Catatonic	D012559	F03.700.750	F03	2
D012561	Schizophrenia, Childhood	D065886	F03.625	F03	1
