MESH_SCR_ID	MESH_SCR_NAME	MESH_ID
C565176	Corneal Dystrophy, Posterior Polymorphous, 2	D003317
C580329	Optic-Spinal MS	D009103
C563110	Corpus Callosum, Agenesis of, with Abnormal Genitalia	D008607
C563110	Corpus Callosum, Agenesis of, with Abnormal Genitalia	D014564
C563110	Corpus Callosum, Agenesis of, with Abnormal Genitalia	D040181
C563110	Corpus Callosum, Agenesis of, with Abnormal Genitalia	D061085
C563120	Prothrombin Consumption Inhibitor, Familial	D001778
C565188	Cerebellar Ataxia, Autosomal Recessive, Type 1	D020754
C562864	MPO Deficiency	D008661
C537652	Bartter Syndrome, Antenatal, Type 1	D001477
C537652	Bartter Syndrome, Antenatal, Type 1	D064466
C536006	Acetylcarnitine deficiency	D002332
C536006	Acetylcarnitine deficiency	D008661
C567423	Hypophosphatemic Rickets And Hyperparathyroidism	D049950
C567423	Hypophosphatemic Rickets And Hyperparathyroidism	D063730
C536909	Hereditary thyroglossal duct cysts	D013955
C536599	Alzheimer Disease Without Neurofibrillary Tangles	D000544
C537043	Ocular albinism with sensorineural deafness	D006319
C537043	Ocular albinism with sensorineural deafness	D016117
C535277	Ciliary Dyskinesia, Primary, 2	D007619
C536464	Waardenburg Syndrome Without Dystopia Canthorum	D014849
C565068	Ectodermal Dysplasia, Trichoodontoonychial Type	D000848
C565068	Ectodermal Dysplasia, Trichoodontoonychial Type	D004476
C565068	Ectodermal Dysplasia, Trichoodontoonychial Type	D007039
C565070	Cleft Lip with or without Cleft Palate, Nonsyndromic, 8	D002971
C565070	Cleft Lip with or without Cleft Palate, Nonsyndromic, 8	D004476
C565071	Echo Virus 11 Sensitivity	D004198
C565071	Echo Virus 11 Sensitivity	D004457
C565076	Osteochondromatosis, Dominant Carpotarsal	D001848
C565076	Osteochondromatosis, Dominant Carpotarsal	D005097
C565076	Osteochondromatosis, Dominant Carpotarsal	D018210
C565077	Diffuse Lewy Body Disease with Gaze Palsy	D015835
C565077	Diffuse Lewy Body Disease with Gaze Palsy	D020961
