"MESH_ID"	"UMLS_CUI"	"UMLS_NAME"
"C565176"	"C1852795"	"CORNEAL DYSTROPHY, POSTERIOR POLYMORPHOUS, 2"
"C580329"	"C3711850"	"Opticospinal Multiple Sclerosis"
"C563110"	"C0796124"	"Proud Syndrome"
"C563120"	"C0796149"	"Scott Syndrome"
"C565188"	"C1853116"	"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 8 (disorder)"
"C562864"	"C0398595"	"Myeloperoxidase Deficiency"
"C537652"	"C1866495"	"Bartter syndrome, antenatal type 1"
"C536006"	"C2931083"	"Acetylcarnitine deficiency"
"C567423"	"C2677524"	"Hypophosphatemic Rickets And Hyperparathyroidism"
"C536909"	"C1861114"	"Thyroglossal tract cyst"
"C536909"	"C3495590"	"Familial thyroglossal duct cyst"
"C536599"	"C1858751"	"Alzheimer's disease without Neurofibrillary tangles"
"C537043"	"C1845069"	"ALBINISM, OCULAR, WITH LATE-ONSET SENSORINEURAL DEAFNESS (disorder)"
"C535277"	"C1847554"	"CILIARY DYSKINESIA, PRIMARY, 2 (disorder)"
"C536464"	"C1860339"	"WAARDENBURG SYNDROME, TYPE IIA"
"C565068"	"C1851858"	"Ectodermal Dysplasia, Trichoodontoonychial Type"
"C565070"	"C1851879"	"Cleft Lip with or without Cleft Palate, Nonsyndromic, 8"
"C565071"	"C1851888"	"ECHO VIRUS 11 SENSITIVITY"
"C565076"	"C1851956"	"Dysplasia Epiphysealis Hemimelica with Chondromas and Osteochondromas"
"C565077"	"C1851957"	"Diffuse Lewy Body Disease with Gaze Palsy"
"C565078"	"C1851958"	"Lewy Body Variant of Alzheimer Disease"
"C565079"	"C1851970"	"DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT"
"C565080"	"C1851986"	"Dyschondrosteosis and Nephritis"
"C565083"	"C1851997"	"Dupuytren Contracture 1"
"C565084"	"C1851998"	"Plantar Fibromatosis, Familial"
"C565086"	"C1852008"	"Duodenal Ulcer, Hyperpepsinogenemic I"
"C565088"	"C1852021"	"Drusen, Radial, Autosomal Dominant"
"C565090"	"C1852023"	"Double Nail for Fifth Toe"
"C565093"	"C1852063"	"Distal Osteosclerosis"
"C565094"	"C1852073"	"Disproportionate Short Stature with Ptosis and Valvular Heart Lesions"
"C565099"	"C1852087"	"Diarrhea, Glucose-Stimulated Secretory, with Common Variable Immunodeficiency"
"C565100"	"C1852092"	"DIABETES MELLITUS, INSULIN-DEPENDENT, 2"
"C565102"	"C1852127"	"KERATOSIS PALMOPLANTARIS STRIATA II"
"C564264"	"C1842321"	"Growth Failure, Microcephaly, Mental Retardation, Cataracts, Large Joint Contractures, Osteoporosis, Cortical Dysplasia, and Cerebellar Atrophy"
"C564948"	"C1850395"	"Neuropathy, Hereditary Sensory, with Spastic Paraplegia, Autosomal Recessive"
"C565246"	"C1853480"	"Mental Retardation, Microcephaly, Growth Retardation, Joint Contractures, and Facial Dysmorphism"
"C565273"	"C1853829"	"Arthropathy, Erosive"
"C565441"	"C1855505"	"Leukemia, Acute Myelocytic, with Polyposis Coli and Colon Cancer"
"C566361"	"C1863702"	"Microcephaly, Facial Abnormalities, Micromelia, and Mental Retardation"
"C566378"	"C1863920"	"Osteosclerotic Chondrodysplasia, Lethal, With Intracellular Inclusions"
"C563291"	"C1832112"	"Multiple Epiphyseal Dysplasia with Robin Phenotype"
"C566655"	"C1866649"	"Steinfeld Syndrome"
"C566672"	"C1866777"	"Spinal Muscular Atrophy, Proximal, Adult, Autosomal Dominant"
"C567445"	"C2677745"	"Hunter-Macdonald Syndrome"
"C567480"	"C2678055"	"MYOPATHY, X-LINKED, WITH POSTURAL MUSCLE ATROPHY (disorder)"
"C567481"	"C2678061"	"SCAPULOPERONEAL MYOPATHY, X-LINKED DOMINANT"
"C567591"	"C2749106"	"Emery-Dreifuss Muscular Dystrophy 6, X-Linked"
"C567850"	"C2751878"	"Hadziselimovic Syndrome"
"C536024"	"C1839040"	"LEBER OPTIC ATROPHY AND DYSTONIA"
"C563067"	"C0795989"	"Hypospadias-Mental Retardation Syndrome"
"C563455"	"C1833473"	"Dermoid Cysts, Familial Frontonasal"
"C563810"	"C1836915"	"Mental Retardation with Optic Atrophy, Facial Dysmorphism, Microcephaly, and Short Stature"
"C564021"	"C1838951"	"LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY"
"C537992"	"C2079540"	"Charcot-Marie-Tooth disease, Type 2C"
"C567688"	"C2750481"	"Factor XIII, B Subunit, Deficiency Of"
"C567687"	"C2750475"	"Focal Segmental Glomerulosclerosis 5"
"C567691"	"C2750514"	"Factor Xiii, A Subunit, Deficiency Of"
"C565831"	"C1858915"	"FOCAL SEGMENTAL GLOMERULOSCLEROSIS 2"
"C566169"	"C1861862"	"Familial Hypertrophic Cardiomyopathy Type 4"
"C567684"	"C2750467"	"Cardiomyopathy, Familial Hypertrophic, 14"
"C566005"	"C3495498"	"Cardiomyopathy, Familial Hypertrophic, 1 (disorder)"
"C567419"	"C2677506"	"Cardiomyopathy, Familial Hypertrophic, 11"
"C567677"	"C2750450"	"CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 4"
"C567675"	"C2750448"	"CORNEAL DYSTROPHY, FUCHS ENDOTHELIAL, 6"
"C536527"	"C1843323"	"Van Buchem disease type 2"
"C538639"	"C1835398"	"LI-FRAUMENI SYNDROME 1"
"C564211"	"C1841836"	"Granddad Syndrome"
"C535896"	"C1832525"	"Limb-girdle muscular dystrophy type 2F"
"C538401"	"C1859711"	"Arthrogryposis multiplex congenita whistling face"
"C538049"	"C1857333"	"Deafness oligodontia syndrome"
"C537830"	"C1855467"	"Macrosomia with lethal microphthalmia"
"C538006"	"C1857093"	"DYSTONIA 2, TORSION, AUTOSOMAL RECESSIVE (disorder)"
"C537240"	"C1850077"	"Supranuclear Palsy, Progressive, 1, Atypical"
"C538078"	"C1861669"	"Charcot-Marie-Tooth disease and deafness"
"C538287"	"C1861829"	"Cataract microcornea syndrome"
"C537974"	"C1859357"	"Camptodactyly, fibrous tissue hyperplasia, and skeletal dysplasia"
"C536426"	"C1844830"	"CLEFT PALATE, X-LINKED"
"C537361"	"C1855102"	"Methylmalonic aciduria cblB type"
"C535796"	"C2673686"	"Spondylometaphyseal dysplasia, east-African type"
"C536184"	"C1851286"	"Ectopia lentis isolated"
"C536184"	"C2746069"	"Familial ectopia lentis"
"C536620"	"C1839125"	"Say Meyer syndrome"
"C531673"	"C1851584"	"Childhood Ependymoma"
"C538125"	"C2931740"	"Kuster Majewski Hammerstein syndrome"
"C537129"	"C1839566"	"CHARCOT-MARIE-TOOTH DISEASE, X-LINKED RECESSIVE, 5"
"C537360"	"C1855109"	"Methylmalonic aciduria cblA type"
"C536711"	"C1855080"	"Winship Viljoen Leary syndrome"
"C535557"	"C1860224"	"ABLEPHARON-MACROSTOMIA SYNDROME"
"C536339"	"C1867981"	"POROKERATOSIS, DISSEMINATED SUPERFICIAL ACTINIC, 1"
"C536331"	"C1868117"	"POLYDACTYLY, POSTAXIAL, WITH PROGRESSIVE MYOPIA"
"C535350"	"C1859306"	"Cerebellar ataxia ectodermal dysplasia"
"C535336"	"C1859316"	"CATARACT-ALOPECIA-SCLERODACTYLY SYNDROME"
"C535582"	"C1861860"	"Cardiomyopathy hypogonadism collagenoma syndrome"
"C535941"	"C1844853"	"Brachytelephalangic Chondrodysplasia Punctata"
