"MESH_ID"	"UMLS_CUI"	"UMLS_NAME"
"D000074043"	"C2203937"	"Night Eating Syndrome"
"D000074042"	"C4505184"	"Cerebral Intraventricular Hemorrhage"
"D000074021"	"C4505172"	"Interatrial Block"
"D000074021"	"C4505173"	"Bayes Syndrome"
"D000074009"	"C0334348"	"Hidradenoma Papilliferum"
"D000074009"	"C0406803"	"Syringocystadenoma Papilliferum"
"D000074009"	"C4505170"	"Tubular Sweat Gland Adenomas"
"D000074079"	"C0409999"	"Undifferentiated Connective Tissue Diseases"
"D000074079"	"C0410000"	"Overlap syndrome"
"D048550"	"C1306571"	"Hepatic Insufficiency"
"D012587"	"C0036400"	"Scimitar Syndrome"
"D012587"	"C4551903"	"Total anomalous pulmonary venous return"
"D012587"	"C4551904"	"Total Anomalous Pulmonary Venous Return 1"
"D012587"	"C4551905"	"Anomalous Pulmonary Venous Return"
"D012585"	"C0036396"	"Sciatica"
"D012585"	"C0751492"	"Sciatica, Bilateral"
"D012593"	"C0036415"	"Sclerema Neonatorum"
"D012594"	"C0011644"	"Scleroderma"
"D012594"	"C0036420"	"Localized scleroderma"
"D012594"	"C0263409"	"Linear Scleroderma"
"D012594"	"C1527383"	"Morphea"
"D012592"	"C0036413"	"Scleredema Adultorum"
"D012598"	"C0036429"	"Sclerosis"
"D012595"	"C0036421"	"Systemic Scleroderma"
"D012569"	"C0021151"	"Incipient Schizophrenia"
"D012569"	"C0023105"	"Schizophrenia, Latent"
"D012569"	"C0033823"	"Schizophrenia, Pseudoneurotic"
"D012569"	"C0033836"	"Pseudopsychopathic Schizophrenia"
"D012569"	"C0036343"	"Borderline schizophrenia"
"D012569"	"C0036363"	"Schizotypal Personality Disorder"
"D012560"	"C0036344"	"Schizophrenia, Catatonic"
"D012561"	"C0036346"	"Schizophrenia, Childhood"
"D012562"	"C0036347"	"Schizophrenia, Disorganized"
"D012563"	"C0011251"	"Delusional disorder"
"D012563"	"C0036349"	"Paranoid Schizophrenia"
"D000592"	"C0002514"	"Amino Acid Metabolism, Inborn Errors"
"D000592"	"C0750905"	"Amino Acid Metabolism, Inherited Disorders"
"D000568"	"C0002453"	"Amenorrhea"
"D000568"	"C0032796"	"Postpartum Amenorrhea"
"D000567"	"C0002452"	"Amelogenesis Imperfecta"
"D000564"	"C0002448"	"Ameloblastoma"
"D000562"	"C0002438"	"Amebiasis"
"D000562"	"C0002445"	"Ameboma"
"D000562"	"C0021963"	"Iodamoebiasis"
"D000562"	"C0033129"	"Acanthamoeba Infection"
"D000562"	"C0524489"	"Abscess, Amebic"
"D000562"	"C2721655"	"Balamuthia Infection"
"D012544"	"C0036310"	"Scheuermann's Disease"
"D012541"	"C0036285"	"Scarlet Fever"
"D012557"	"C0036339"	"Schizoid Personality Disorder"
"D012555"	"C0036330"	"Schistosomiasis mansoni"
"D012555"	"C0242497"	"Intestinal schistosomiasis"
"D012559"	"C0036341"	"Schizophrenia"
"D012553"	"C0276926"	"Schistosoma hematobium infection"
"D012553"	"C1704430"	"Urinary Schistosomiasis"
"D012554"	"C0036329"	"Schistosomiasis japonica"
"D012552"	"C0036323"	"Schistosomiasis"
"D000544"	"C0002395"	"Alzheimer's Disease"
"D000544"	"C0011265"	"Presenile dementia"
"D000544"	"C0276496"	"Familial Alzheimer Disease (FAD)"
"D000544"	"C0494463"	"Alzheimer Disease, Late Onset"
"D000544"	"C0546126"	"Acute Confusional Senile Dementia"
"D000544"	"C0750900"	"Alzheimer's Disease, Focal Onset"
"D000544"	"C0750901"	"Alzheimer Disease, Early Onset"
"D000542"	"C0002390"	"Extrinsic allergic alveolitis"
"D012523"	"C0036231"	"Sarcocystosis"
"D000550"	"C0002418"	"Amblyopia"
"D000550"	"C0339696"	"Anisometropic Amblyopia"
"D000550"	"C0422955"	"Lazy Eye"
"D000550"	"C0750902"	"Amblyopia, Developmental"
"D000550"	"C0750903"	"Amblyopia, Suppression"
"D012536"	"C0036271"	"Scalp Dermatoses"
"D012532"	"C0024710"	"Mange, Sarcoptic"
"D012532"	"C0036262"	"Scabies <infestation>"
"D012509"	"C0205944"	"Sarcoma, Epithelioid"
"D012509"	"C0205945"	"Sarcoma, Spindle Cell"
"D012509"	"C1261473"	"Sarcoma"
"D012507"	"C0036202"	"Sarcoidosis"
"D000532"	"C0002351"	"Altitude Sickness"
"D000532"	"C3887755"	"Mountain Sickness"
"D000532"	"C4045968"	"Altitude Hypoxia"
"D012513"	"C0036214"	"Sarcoma, Engelbreth-Holm-Swarm"
"D012513"	"C0036216"	"Sarcoma, Experimental"
"D012513"	"C0036219"	"Sarcoma, Jensen"
"D012514"	"C0036220"	"Kaposi Sarcoma"
"D012511"	"C0036213"	"Sarcoma 37"
"D012512"	"C0553580"	"Ewings sarcoma"
"D012517"	"C0036224"	"Sarcoma, Yoshida"
"D012515"	"C0036221"	"Mast-Cell Sarcoma"
"D012516"	"C0029463"	"Osteosarcoma"
"D012510"	"C0036211"	"Sarcoma 180"
"D000506"	"C0002171"	"Alopecia Areata"
"D000505"	"C0002170"	"Alopecia"
"D000505"	"C0086873"	"Pseudopelade"
"D000505"	"C0162311"	"Androgenetic Alopecia"
"D000505"	"C0263477"	"Female pattern alopecia (disorder)"
"D000505"	"C4083212"	"Alopecia, Male Pattern"
"D000507"	"C0002173"	"Mucinosis, Follicular"
"D000608"	"C0002534"	"Renal Aminoacidurias"
"D048629"	"C1449861"	"Micronuclei, Chromosome-Defective"
"D048629"	"C1449862"	"Micronuclei, Genotoxicant-Induced"
"D034062"	"C0206042"	"Fatal Familial Insomnia"
"D009087"	"C0026709"	"Mucopolysaccharidosis VI"
"D009085"	"C0026707"	"Mucopolysaccharidosis IV"
"D009085"	"C0086651"	"Mucopolysaccharidosis, MPS-IV-A"
"D009085"	"C0086652"	"Mucopolysaccharidosis type IVB"
"D009085"	"C3179194"	"GALNS Deficiency"
