OMIM_ID	OMIM_NAME
202110	17,20-lyase deficiency, isolated
202110	17-alpha-hydroxylase/17,20-lyase deficiency
204750	2-aminoadipic 2-oxoadipic aciduria
610006	2-methylbutyrylglycinuria
273750	3-M syndrome 1
612921	3-M syndrome 2
614205	3-M syndrome 3
210200	3-Methylcrotonyl-CoA carboxylase 1 deficiency
210210	3-Methylcrotonyl-CoA carboxylase 2 deficiency
231530	3-hydroxyacyl-CoA dehydrogenase deficiency
250620	3-hydroxyisobutryl-CoA hydrolase deficiency
614739	3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome
250950	3-methylglutaconic aciduria, type I
258501	3-methylglutaconic aciduria, type III
617698	3-methylglutaconic aciduria, type IX
610198	3-methylglutaconic aciduria, type V
616271	3-methylglutaconic aciduria, type VII, with cataracts, neurologic involvement and neutropenia
617248	3-methylglutaconic aciduria, type VIII
257920	3MC syndrome 1
265050	3MC syndrome 2
248340	3MC syndrome 3
613792	3p- syndrome
617480	46, XX sex reversal 4
400045	46XX sex reversal 1
278850	46XX sex reversal 2
300833	46XX sex reversal 3
607080	46XY partial gonadal dysgenesis, with minifascicular neuropathy
400044	46XY sex reversal 1
616425	46XY sex reversal 10
300018	46XY sex reversal 2, dosage-sensitive
612965	46XY sex reversal 3
154230	46XY sex reversal 4
613762	46XY sex reversal 6
233420	46XY sex reversal 7
614279	46XY sex reversal 8
616067	46XY sex reversal 9
274270	5-fluorouracil toxicity
260005	5-oxoprolinase deficiency
600501	ABCD syndrome
615954	ACTH-independent macronodular adrenal hyperplasia 2
219080	ACTH-independent macronodular adrenal hyperplasia
103285	ADULT syndrome
608688	AICA-ribosiduria due to ATIC deficiency
305400	Aarskog-Scott syndrome
605572	Abdominal obesity-metabolic syndrome
605552	Abdominal obesity-metabolic syndrome 1
615812	Abdominal obesity-metabolic syndrome 3
200100	Abetalipoproteinemia
200110	Ablepharon-macrostomia syndrome
114290	Acampomelic campomelic dysplasia
614097	Acatalasemia
613933	Acetyl-CoA carboxylase deficiency
231550	Achalasia-addisonianism-alacrimia syndrome
200500	Acheiropody
600972	Achondrogenesis Ib
200600	Achondrogenesis, type IA
200610	Achondrogenesis, type II or hypochondrogenesis
100800	Achondroplasia
216900	Achromatopsia 2
262300	Achromatopsia 3
613856	Achromatopsia 4
610024	Achromatopsia 6
616517	Achromatopsia 7
615961	Acid-labile subunit, deficiency of
142690	Acne inversa, familial, 1
613736	Acne inversa, familial, 2, with or without Dowling-Degos disease
200990	Acrocallosal syndrome
607778	Acrocapitofemoral dysplasia
201100	Acrodermatitis enteropathica
101800	Acrodysostosis 1, with or without hormone resistance
614613	Acrodysostosis 2, with or without hormone resistance
154400	Acrofacial dysostosis 1, Nager type
616462	Acrofacial dysostosis, Cincinnati type
101900	Acrokeratosis verruciformis
606049	Acromegaloid features, overgrowth, cleft palate, and hernia
603671	Acromelic frontonasal dysostosis
609441	Acromesomelic dysplasia, Demirhan type
602875	Acromesomelic dysplasia, Maroteaux type
102370	Acromicric dysplasia
605967	Acropectoral syndrome
102510	Acropectorovertebral dysplasia
601676	Acute insulin response
601626	Acute myeloid leukemia, somatic
201450	Acyl-CoA dehydrogenase, medium chain, deficiency of
201470	Acyl-CoA dehydrogenase, short-chain, deficiency of
100300	Adams-Oliver syndrome 1
614219	Adams-Oliver syndrome 2
614814	Adams-Oliver syndrome 3
615297	Adams-Oliver syndrome 4
616028	Adams-Oliver syndrome 5
616589	Adams-Oliver syndrome 6
614723	Adenine phosphoribosyltransferase deficiency
211980	Adenocarcinoma of lung, response to tyrosine kinase inhibitor in
211980	Adenocarcinoma of lung, somatic
211980	Adenocarcinoma of lung, somatic
211980	Adenocarcinoma of lung, somatic
603615	Adenocarcinoma, colonic, somatic
611731	Adenoma, periampullary, somatic
608456	Adenomas, multiple colorectal
181030	Adenomas, salivary gland pleomorphic, somatic
175100	Adenomatous polyposis coli
102700	Adenosine deaminase deficiency, partial
102900	Adenosine triphosphate, elevated, of erythrocytes
103050	Adenylosuccinase deficiency
136000	Adermatoglyphia
612556	Adiponectin deficiency
613733	Adrenal adenoma, somatic
202010	Adrenal hyperplasia, congenital, due to 11-beta-hydroxylase deficiency
201910	Adrenal hyperplasia, congenital, due to 21-hydroxylase deficiency
201810	Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency
300200	Adrenal hypoplasia, congenital
613743	Adrenal insufficiency, congenital, with 46XY sex reversal, partial or complete
612964	Adrenocortical insufficiency
188830	Adrenocortical tumor, somatic,
201400	Adrenocorticotropic hormone deficiency
300100	Adrenoleukodystrophy
300100	Adrenomyeloneuropathy, adult
110800	Adult i phenotype without cataract
604348	Advanced sleep phase syndrome, familial, 1
615224	Advanced sleep-phase syndrome, familial, 2
202400	Afibrinogenemia, congenital
202400	Afibrinogenemia, congenital
202400	Afibrinogenemia, congenital
601495	Agammaglobulinemia 1
613500	Agammaglobulinemia 2
613501	Agammaglobulinemia 3
612692	Agammaglobulinemia 6
616941	Agammaglobulinemia 8, autosomal dominant
300755	Agammaglobulinemia, X-linked 1
