"OMIM_ID"	"UMLS_CUI"	"UMLS_NAME"
"202110"	"C0268285"	"Adrenal hyperplasia, congenital, type 5"
"202110"	"C3277849"	"17,20-Lyase Deficiency, Isolated"
"202110"	"C0268285"	"Adrenal hyperplasia, congenital, type 5"
"202110"	"C3277849"	"17,20-Lyase Deficiency, Isolated"
"204750"	"C1859817"	"2-AMINOADIPIC 2-OXOADIPIC ACIDURIA"
"610006"	"C1864912"	"2-Methylbutyryl-CoA Dehydrogenase Deficiency"
"273750"	"C1848862"	"Miller-McKusick-Malvaux-Syndrome (3M Syndrome)"
"273750"	"C2678312"	"Three M Syndrome 1"
"612921"	"C2752041"	"Three M Syndrome 2"
"614205"	"C3280146"	"THREE M SYNDROME 3"
"210200"	"C0268600"	"3-methylcrotonyl CoA carboxylase 1 deficiency"
"210210"	"C1859499"	"3-methylcrotonyl CoA carboxylase 2 deficiency"
"231530"	"C1291230"	"3-Hydroxyacyl-CoA Dehydrogenase Deficiency"
"250620"	"C0342738"	"Beta-Hydroxyisobutyryl CoA Deacylase Deficiency"
"614739"	"C3553597"	"3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME"
"250950"	"C0342727"	"3-@METHYLGLUTACONIC ACIDURIA, TYPE I"
"258501"	"C0574084"	"3-Methylglutaconic aciduria type 3"
"617698"	"C4540171"	"3-METHYLGLUTACONIC ACIDURIA, TYPE IX"
"610198"	"C1857776"	"3-@METHYLGLUTACONIC ACIDURIA, TYPE V"
"616271"	"C4225393"	"3-methylglutaconic aciduria type 7"
"617248"	"C4310650"	"3-METHYLGLUTACONIC ACIDURIA, TYPE VIII"
"257920"	"C0796059"	"Oculopalatoskeletal syndrome"
"265050"	"C0796279"	"Carnevale syndrome"
"248340"	"C0796032"	"Malpuech facial clefting syndrome"
"613792"	"C0795806"	"Chromosome 3, monosomy 3p"
"617480"	"C4479552"	"46,XX SEX REVERSAL 4"
"400045"	"C2748895"	"Ovotesticular Disorders of Sex Development"
"278850"	"C2749215"	"46,XX SEX REVERSAL 2"
"300833"	"C3151782"	"46,XX SEX REVERSAL 3"
"300833"	"C3151783"	"CHROMOSOME Xq26 DELETION SYNDROME"
"607080"	"C2751325"	"46,Xy Gonadal Dysgenesis, Partial, With Minifascicular Neuropathy"
"400044"	"C2748896"	"46,Xy Gonadal Dysgenesis, Complete, Sry-Related"
"400044"	"C2748897"	"46,Xy True Hermaphroditism, Sry-Related"
"400044"	"C2748898"	"TESTIS-DETERMINING FACTOR, X-CHROMOSOMAL, FORMERLY"
"400044"	"C2748899"	"SEX-REVERSING LOCUS ON X, FORMERLY"
"616425"	"C4225331"	"46,XY SEX REVERSAL 10"
"300018"	"C1848296"	"DOSAGE-SENSITIVE SEX REVERSAL"
"612965"	"C3489793"	"46,XY Sex Reversal 3"
"154230"	"C2752149"	"46,XY Sex Reversal 4"
"613762"	"C3151064"	"46,XY SEX REVERSAL 6"
"233420"	"C1856273"	"46,XY Gonadal Dysgenesis, Complete or Partial, DHH-Related"
"614279"	"C1839840"	"MALE PSEUDOHERMAPHRODITISM: DEFICIENCY OF TESTICULAR 17,20-DESMOLASE"
"616067"	"C4015129"	"46,XY SEX REVERSAL 9"
"274270"	"C0274576"	"Poisoning by fluorouracil"
"274270"	"C1959620"	"Dihydropyrimidine Dehydrogenase Deficiency"
"260005"	"C0268525"	"5-oxoprolinase deficiency"
"600501"	"C1838099"	"ABCD syndrome"
"615954"	"C4014803"	"ACTH-INDEPENDENT MACRONODULAR ADRENAL HYPERPLASIA 2"
"219080"	"C1857451"	"Acth-Independent Macronodular Adrenal Hyperplasia"
"103285"	"C1863204"	"ADULT SYNDROME"
"608688"	"C1837530"	"AICAR Transformylase Inosine Monophosphate Cyclohydrolase Deficiency"
"305400"	"C0175701"	"Aarskog syndrome"
"305400"	"C1844569"	"Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder"
"305400"	"C3275558"	"MENTAL RETARDATION, X-LINKED, SYNDROMIC 16"
"605572"	"C1854170"	"ABDOMINAL OBESITY-METABOLIC SYNDROME QUANTITATIVE TRAIT LOCUS 2"
"605552"	"C0524620"	"Metabolic Syndrome X"
"605552"	"C1854178"	"ABDOMINAL OBESITY-METABOLIC SYNDROME QUANTITATIVE TRAIT LOCUS 1"
"605552"	"C1970051"	"METABOLIC SYNDROME, PROTECTION AGAINST"
"605552"	"C4552048"	"ABDOMINAL OBESITY-METABOLIC SYNDROME 1"
"615812"	"C4014361"	"ABDOMINAL OBESITY-METABOLIC SYNDROME 3"
"200100"	"C0000744"	"Abetalipoproteinemia"
"200110"	"C1860224"	"ABLEPHARON-MACROSTOMIA SYNDROME"
"114290"	"C1842462"	"CAMPOMELIC DYSPLASIA WITH AUTOSOMAL SEX REVERSAL"
"114290"	"C1861922"	"CAMPOMELIC DYSPLASIA"
"114290"	"C1861923"	"Acampomelic Campomelic Dysplasia"
"114290"	"C3549544"	"ACAMPOMELIC CAMPOMELIC DYSPLASIA WITH AUTOSOMAL SEX REVERSAL"
"614097"	"C0268419"	"Acatalasia"
"613933"	"C0268603"	"Acetyl-CoA: carboxylase deficiency"
"231550"	"C0271742"	"Glucocorticoid deficiency with achalasia"
"200500"	"C0265559"	"Acheiropodia"
"600972"	"C0265274"	"Achondrogenesis, type IB (disorder)"
"200600"	"C0265273"	"Achondrogenesis type 1A"
"200610"	"C0220685"	"Achondrogenesis type 2"
"200610"	"C0542428"	"Hypochondrogenesis"
"100800"	"C0001080"	"Achondroplasia"
"216900"	"C1857618"	"Achromatopsia 2"
"262300"	"C1849792"	"Achromatopsia 3"
"613856"	"C1841721"	"ACHROMATOPSIA 4"
"610024"	"C1864900"	"Retinal Cone Dystrophy 3A"
"610024"	"C3552227"	"ACHROMATOPSIA 6"
"616517"	"C4225297"	"ACHROMATOPSIA 7"
"615961"	"C3900122"	"Acid-Labile Subunit Deficiency"
"142690"	"C1840560"	"Hidradenitis suppurativa, familial"
"142690"	"C4551962"	"ACNE INVERSA, FAMILIAL, 1"
"613736"	"C3151037"	"ACNE INVERSA, FAMILIAL, 2, WITH OR WITHOUT DOWLING-DEGOS DISEASE"
"200990"	"C0796147"	"Acrocallosal Syndrome"
"200990"	"C2931760"	"Acrocallosal syndrome, Schinzel type"
"200990"	"C3277723"	"JOUBERT SYNDROME 12"
"200990"	"C3280899"	"JOUBERT SYNDROME 12/15, DIGENIC"
"607778"	"C1843096"	"Acrocapitofemoral Dysplasia"
"201100"	"C0221036"	"Acrodermatitis enteropathica"
"101800"	"C3276228"	"ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE"
"614613"	"C3553250"	"ACRODYSOSTOSIS 2 WITH OR WITHOUT HORMONE RESISTANCE"
"154400"	"C0265245"	"Nager syndrome"
"616462"	"C4225317"	"ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE"
"101900"	"C0265971"	"Acrokeratosis Verruciformis of Hopf"
"606049"	"C1853757"	"Acromegaloid features, overgrowth, cleft palate, and hernia"
"603671"	"C1863616"	"ACROMELIC FRONTONASAL DYSOSTOSIS"
"609441"	"C4225404"	"ACROMESOMELIC DYSPLASIA, DEMIRHAN TYPE"
"602875"	"C1864356"	"ACROMESOMELIC DYSPLASIA, MAROTEAUX TYPE"
"602875"	"C2930970"	"Acromesomelic dysplasia Hunter-Thompson type"
"102370"	"C0265287"	"Acromicric Dysplasia"
"605967"	"C1853812"	"Acropectoral syndrome"
"102510"	"C1863307"	"Acropectorovertebral Dysplasia, F-Form"
"601676"	"C1866503"	"ACUTE INSULIN RESPONSE"
"601626"	"C0023467"	"Leukemia, Myelocytic, Acute"
"601626"	"C3275959"	"LEUKEMIA, ACUTE MYELOID, SUSCEPTIBILITY TO"
"201450"	"C0220710"	"Medium-chain acyl-coenzyme A dehydrogenase deficiency"
"201470"	"C0342783"	"Deficiency of butyryl-CoA dehydrogenase"
"100300"	"C1970140"	"Aplasia Cutis Congenita, Congenital Heart Defect, And Frontonasal Cysts"
"100300"	"C4551482"	"Adams-Oliver syndrome 1"
"614219"	"C3280182"	"ADAMS-OLIVER SYNDROME 2"
"614814"	"C3553748"	"ADAMS-OLIVER SYNDROME 3"
"615297"	"C3809092"	"ADAMS-OLIVER SYNDROME 4"
"616028"	"C4014970"	"ADAMS-OLIVER SYNDROME 5"
"616589"	"C4225271"	"ADAMS-OLIVER SYNDROME 6"
"614723"	"C0268120"	"Adenine phosphoribosyltransferase deficiency"
"614723"	"C3665382"	"2,8-Dihydroxyadenine Urolithiasis"
"211980"	"C0007120"	"Bronchioloalveolar Adenocarcinoma"
"211980"	"C0007131"	"Non-Small Cell Lung Carcinoma"
"211980"	"C0152013"	"Adenocarcinoma of lung (disorder)"
"211980"	"C0684249"	"Carcinoma of lung"
"211980"	"C1968897"	"LUNG CANCER, PROTECTION AGAINST"
"211980"	"C0007120"	"Bronchioloalveolar Adenocarcinoma"
"211980"	"C0007131"	"Non-Small Cell Lung Carcinoma"
"211980"	"C0152013"	"Adenocarcinoma of lung (disorder)"
"211980"	"C0684249"	"Carcinoma of lung"
"211980"	"C1968897"	"LUNG CANCER, PROTECTION AGAINST"
"211980"	"C0007120"	"Bronchioloalveolar Adenocarcinoma"
"211980"	"C0007131"	"Non-Small Cell Lung Carcinoma"
"211980"	"C0152013"	"Adenocarcinoma of lung (disorder)"
"211980"	"C0684249"	"Carcinoma of lung"
"211980"	"C1968897"	"LUNG CANCER, PROTECTION AGAINST"
"211980"	"C0007120"	"Bronchioloalveolar Adenocarcinoma"
"211980"	"C0007131"	"Non-Small Cell Lung Carcinoma"
"211980"	"C0152013"	"Adenocarcinoma of lung (disorder)"
"211980"	"C0684249"	"Carcinoma of lung"
"211980"	"C1968897"	"LUNG CANCER, PROTECTION AGAINST"
"603615"	"C1134719"	"Invasive Ductal Breast Carcinoma"
"603615"	"C1419244"	"RAD54L gene"
"603615"	"C4016284"	"LYMPHOMA, NON-HODGKIN, SOMATIC"
"603615"	"C4016849"	"ADENOCARCINOMA, COLONIC, SOMATIC"
"611731"	"C0017097"	"Gardner Syndrome"
"611731"	"C0032580"	"Adenomatous Polyposis Coli"
"611731"	"C0162832"	"APC gene"
"611731"	"C1833970"	"COLORECTAL CANCER, SOMATIC"
"611731"	"C1851124"	"Desmoid disease, hereditary"
"611731"	"C1860985"	"GASTRIC CANCER, SOMATIC"
"611731"	"C1861807"	"DESMOID TUMOR, SOMATIC"
"611731"	"C1969388"	"HEPATOCELLULAR CARCINOMA, SOMATIC"
"611731"	"C2673218"	"BRAIN TUMOR-POLYPOSIS SYNDROME 2 (disorder)"
"611731"	"C2673224"	"ADENOMA, PERIAMPULLARY, SOMATIC"
"611731"	"C2673229"	"ADENOMATOUS POLYPOSIS COLI WITH CONGENITAL CHOLESTEATOMA"
"611731"	"C2986382"	"VARIANT OF UNKNOWN SIGNIFICANCE"
"611731"	"C3469522"	"BREAST CANCER, SUSCEPTIBILITY TO"
"611731"	"C4015935"	"HEPATOBLASTOMA, SOMATIC"
"611731"	"C4017261"	"FAMILIAL ADENOMATOUS POLYPOSIS 1, ATTENUATED"
"611731"	"C4017262"	"FAMILIAL ADENOMATOUS POLYPOSIS 1, SUSCEPTIBILITY TO"
"611731"	"C4310860"	"FAMILIAL ADENOMATOUS POLYPOSIS 1 OF PROXIMAL STOMACH"
"608456"	"C1837991"	"Colorectal Adenomatous Polyposis, Autosomal Recessive"
"181030"	"C1519176"	"Salivary Gland Pleomorphic Adenoma"
"175100"	"C0017097"	"Gardner Syndrome"
"175100"	"C0032580"	"Adenomatous Polyposis Coli"
"175100"	"C2673218"	"BRAIN TUMOR-POLYPOSIS SYNDROME 2 (disorder)"
"175100"	"C2674616"	"FAMILIAL ADENOMATOUS POLYPOSIS, ATTENUATED (disorder)"
"175100"	"C2713442"	"Polyposis, Adenomatous Intestinal"
"102700"	"C0392607"	"Severe combined immunodeficiency due to adenosine deaminase deficiency"
"102700"	"C1863236"	"SCID Due to ADA Deficiency, Early-Onset"
"102700"	"C1863239"	"Partial adenosine deaminase deficiency"
"102900"	"C1863224"	"Adenosine Triphosphate, Elevated, Of Erythrocytes"
"103050"	"C0268126"	"Adenylosuccinate lyase deficiency (disorder)"
"136000"	"C1852150"	"Fingerprints, Absence of"
"612556"	"C2675517"	"ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 1"
"612556"	"C2675518"	"Adiponectin Deficiency"
"612556"	"C2675519"	"Hypoadiponectinemia"
"613733"	"C0025267"	"Multiple Endocrine Neoplasia Type 1"
"613733"	"C0280089"	"Carcinoid tumor of lung"
"613733"	"C0694884"	"MEN1 gene"
"613733"	"C2675664"	"PARATHYROID ADENOMA, SOMATIC"
"613733"	"C4017330"	"LIPOMA, SOMATIC"
"613733"	"C4017331"	"ANGIOFIBROMA, SOMATIC"
"613733"	"C4017332"	"ADRENAL ADENOMA, SOMATIC"
"613733"	"C4479701"	"HYPERPARATHYROIDISM, FAMILIAL ISOLATED PRIMARY, MEN1 VARIANT"
"613733"	"C4551961"	"Familial Isolated Hyperparathyroidism"
"202010"	"C0268292"	"Congenital adrenal hyperplasia due to 11-Beta-hydroxylase deficiency"
"201910"	"C1859995"	"Hyperandrogenism, Nonclassic Type, due to 21-Hydroxylase Deficiency"
"201910"	"C2936858"	"Congenital adrenal hyperplasia due to 21 hydroxylase deficiency"
"201810"	"C0342471"	"3 beta-Hydroxysteroid dehydrogenase deficiency"
"300200"	"C0342482"	"X-linked Adrenal Hypoplasia"
