ORPHANET_ID	ORPHANET_NAME	UMLS_CUI
166024	Multiple epiphyseal dysplasia, Al-Gazali type	C1846722
58	Alexander disease	C0270726
166032	Multiple epiphyseal dysplasia, with miniepiphyses	C1836307
61	Alpha-mannosidosis	C0024748
166029	Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia	C1836315
166038	Metaphyseal chondrodysplasia, Kaitila type	C1855217
93	Aspartylglucosaminuria	C0268225
93	Aspartylglucosaminuria	C2931840
166035	Brachydactyly-short stature-retinitis pigmentosa syndrome	C1855188
585	Multiple sulfatase deficiency	C0268263
585	Multiple sulfatase deficiency	C1720864
118	Beta-mannosidosis	C0342849
118	Beta-mannosidosis	C2931893
166068	Pontocerebellar hypoplasia type 5	C1857762
141	Canavan disease	C0206307
141	Canavan disease	C3542499
166063	Pontocerebellar hypoplasia type 4	C1856974
166078	Von Willebrand disease type 1	C1264039
166073	Pontocerebellar hypoplasia type 6	C1969084
213	Cystinosis	C0010690
166084	Von Willebrand disease type 2A	C1282968
333	Farber disease	C2936785
333	Farber disease	C0268255
166081	Von Willebrand disease type 2	C1264040
349	Fucosidosis	C0016788
166090	Von Willebrand disease type 2M	C1282974
365	Glycogen storage disease due to acid maltase deficiency	C0017921
166087	Von Willebrand disease type 2B	C1282971
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	C0017922
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	C2936915
166093	Von Willebrand disease type 2N	C1282975
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	C0017924
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	C2936916
166096	Von Willebrand disease type 3	C1264041
367	Glycogen storage disease due to glycogen branching enzyme deficiency	C0017923
367	Glycogen storage disease due to glycogen branching enzyme deficiency	C1563715
166100	Stickler syndrome type 3	C1861481
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	C0017926
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	C0017925
447	Paroxysmal nocturnal hemoglobinuria	C0024790
166113	Bazex syndrome	C0346104
166113	Bazex syndrome	C0406355
535	Rare cutaneous lupus erythematosus	C0024137
166119	Isolated osteopoikilosis	C0029455
166119	Isolated osteopoikilosis	C1833699
487	Krabbe disease	C0023521
166260	Dentinogenesis imperfecta type 2	C2973527
166265	Dentinogenesis imperfecta type 3	C0399378
583	Mucopolysaccharidosis type 6	C0026709
166272	Odontochondrodysplasia	C2745953
166272	Odontochondrodysplasia	C0018036
576	Mucolipidosis type II	C0020725
576	Mucolipidosis type II	C2931894
166277	Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia	C1858032
812	Sialidosis type 1	C0268226
812	Sialidosis type 1	C1850510
812	Sialidosis type 1	C0023806
166282	Familial sick sinus syndrome	C0037052
578	Mucolipidosis type IV	C0238286
166286	Porokeratotic eccrine ostial and dermal duct nevus	C0473579
577	Mucolipidosis type III	C0033788
166291	Dirofilariasis	C0012602
2912	Poliomyelitis	C0032371
796	Sandhoff disease	C0036161
166409	Photosensitive epilepsy	C0393720
801	Scleroderma	C0011644
801	Scleroderma	C0852007
461	Recessive X-linked ichthyosis	C2720163
461	Recessive X-linked ichthyosis	C0079588
461	Recessive X-linked ichthyosis	C2717836
166418	Eating reflex epilepsy	C0393725
166415	Audiogenic seizures	C0751791
584	Mucopolysaccharidosis type 7	C0085132
166433	Reading seizures	C0278193
881	Turner syndrome	C0242526
881	Turner syndrome	C0041408
95	Friedreich ataxia	C0016719
848	Beta-thalassemia	C0005283
846	Alpha-thalassemia	C0002312
846	Alpha-thalassemia	C1456873
586	Cystic fibrosis	C0010674
262	Duchenne and Becker muscular dystrophy	C0917713
262	Duchenne and Becker muscular dystrophy	C3542021
166481	Metabolic diseases with epilepsy	C1299598
261	Emery-Dreifuss muscular dystrophy	C0410189
550	MELAS	C0162671
269	Facioscapulohumeral dystrophy	C0238288
480	Kearns-Sayre syndrome	C0022541
593	Myofibrillar myopathy	C2678065
163895	Paraneoplastic limbic encephalitis	C0338430
551	MERRF	C0162672
597	Central core disease	C0751951
607	Nemaline myopathy	C0206157
163892	Limbic encephalitis	C0338430
163746	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	C1836727
684	Paramyotonia congenita of Von Eulenburg	C1868617
684	Paramyotonia congenita of Von Eulenburg	C0221055
273	Steinert myotonic dystrophy	C2931688
163927	Pustulosis palmaris et plantaris	C0030246
163937	X-linked intellectual disability, Najm type	C2677903
163934	Atopic keratoconjunctivitis	C1274788
614	Thomsen and Becker disease	C2936781
614	Thomsen and Becker disease	C0027127
164004	Middle ear anomaly	C0266599
324	Fabry disease	C0002986
163985	Hyperekplexia-epilepsy syndrome	C1845102
778	Rett syndrome	C0035372
72	Angelman syndrome	C0162635
307	Juvenile myoclonic epilepsy	C0270853
1941	Juvenile absence epilepsy	C2930918
892	Von Hippel-Lindau disease	C0019562
731	Autosomal recessive polycystic kidney disease	C0085548
164736	Familial advanced sleep-phase syndrome	C1858496
138	CHARGE syndrome	C0265354
558	Marfan syndrome	C0024796
803	Amyotrophic lateral sclerosis	C0002736
100	Ataxia-telangiectasia	C0004135
733	Familial adenomatous polyposis	C0032580
399	Huntington disease	C0020179
165955	Wound myiasis	C0344061
501	Lafora disease	C0751783
870	Down syndrome	C0013080
512	Metachromatic leukodystrophy	C0023522
512	Metachromatic leukodystrophy	C2713319
166011	Multiple epiphyseal dysplasia, Beighton type	C1851536
567	22q11.2 deletion syndrome	C0012236
567	22q11.2 deletion syndrome	C0220704
567	22q11.2 deletion syndrome	C0795907
567	22q11.2 deletion syndrome	C2936346
567	22q11.2 deletion syndrome	C3266101
567	22q11.2 deletion syndrome	C0431406
166016	Multiple epiphyseal dysplasia, Lowry type	C1832112
232	Sickle cell anemia	C0002895
165994	Pituitary resistance to thyroid hormone	C1840364
534	Oculocerebrorenal syndrome of Lowe	C0028860
790	Retinoblastoma	C0035335
165991	Exercise-induced hyperinsulinism	C1864902
652	Multiple endocrine neoplasia type 1	C0025267
908	Fragile X syndrome	C0016667
908	Fragile X syndrome	C0751156
3099	Rheumatic fever	C0035436
739	Prader-Willi syndrome	C0032897
47	X-linked agammaglobulinemia	C0221026
580	Mucopolysaccharidosis type 2	C0026705
580	Mucopolysaccharidosis type 2	C2718304
579	Mucopolysaccharidosis type 1	C0023786
579	Mucopolysaccharidosis type 1	C2713321
905	Wilson disease	C0019202
792	X-linked retinoschisis	C0271091
383	X-linked mixed deafness with perilymphatic gusher	C1844678
163525	Subacute cutaneous lupus erythematosus	C0024140
827	Stargardt disease	C0271093
827	Stargardt disease	C1855465
163582	Rare bacterial infectious disease	C0004623
906	Wiskott-Aldrich syndrome	C0043194
904	Williams syndrome	C0175702
280	Wolf-Hirschhorn syndrome	C1956097
15	Achondroplasia	C0001080
96	Ataxia with vitamin E deficiency	C1848533
101	Dentatorubral pallidoluysian atrophy	C0751781
783	Rubinstein-Taybi syndrome	C0035934
163649	Spondyloepiphyseal dysplasia, Nishimura type	C1865134
631	Non-acquired isolated growth hormone deficiency	C0013338
631	Non-acquired isolated growth hormone deficiency	C0271561
276	T-B+ severe combined immunodeficiency due to gamma chain deficiency	C2931540
163654	Spondyloepiphyseal dysplasia, Cantu type	C2673649
481	Kennedy disease	C0393547
481	Kennedy disease	C0752353
481	Kennedy disease	C1839259
664	Ornithine transcarbamylase deficiency	C0268542
163668	Spondyloepiphyseal dysplasia, MacDermot type	C1866719
163673	Spondyloepiphyseal dysplasia, Byers type	C1866727
163662	Spondyloepiphyseal dysplasia, Reardon type	C1833603
394	Classic homocystinuria	C0751202
163665	Spondyloepiphyseal dysplasia tarda, Kohn type	C1849053
508	Leprechaunism	C0265344
163591	Rare mycosis	C0026946
436	Hypophosphatasia	C0020630
163585	Rare viral disease	C0042740
163585	Rare viral disease	C0042769
429	Hypochondroplasia	C0410529
163588	Rare parasitic disease	C0747256
163588	Rare parasitic disease	C0030499
437	Hypophosphatemic rickets	C1704375
437	Hypophosphatemic rickets	C2363065
437	Hypophosphatemic rickets	C3536983
104	Leber hereditary optic neuropathy	C0917796
2182	Hydrocephalus with stenosis of the aqueduct of Sylvius	C0265216
163634	Maffucci syndrome	C0024454
636	Neurofibromatosis type 1	C0027831
649	Norrie disease	C0266526
163727	Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome	C1842531
163681	Cortical dysplasia-focal epilepsy syndrome	C1864887
379	Chronic granulomatous disease	C0018203
16	Blue cone monochromatism	C0339537
16	Blue cone monochromatism	C2931753
163699	Alveolar soft tissue sarcoma	C0206657
644	NARP syndrome	C1328349
637	Neurofibromatosis type 2	C0027832
637	Neurofibromatosis type 2	C0027859
637	Neurofibromatosis type 2	C1136041
163696	Action myoclonus-renal failure syndrome	C0751779
181	X-linked hypohidrotic ectodermal dysplasia	C0162359
163690	Hypotonia-cystinuria syndrome	C1848030
337	Fibrodysplasia ossificans progressiva	C0016037
3444	Watson syndrome	C0553586
377	Gorlin syndrome	C0812437
377	Gorlin syndrome	C0004779
648	Noonan syndrome	C0028326
281	Monosomy 5p	C0010314
281	Monosomy 5p	C2931860
752	46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency	C0268296
214	Cystinuria	C0010691
214	Cystinuria	C0268646
510	Lesch-Nyhan syndrome	C0023374
524	Li-Fraumeni syndrome	C0085390
699	Pearson syndrome	C0342784
699	Pearson syndrome	C0342773
640	Hereditary neuropathy with liability to pressure palsies	C0393814
60	Alpha-1-antitrypsin deficiency	C0221757
60	Alpha-1-antitrypsin deficiency	C3501835
895	Waardenburg syndrome type 2	C2700265
896	Waardenburg syndrome type 3	C0599973
896	Waardenburg syndrome type 3	C0079661
857	Townes-Brocks syndrome	C0265246
894	Waardenburg syndrome type 1	C1847800
682	Hyperkalemic periodic paralysis	C2930895
682	Hyperkalemic periodic paralysis	C0238357
800	Schwartz-Jampel syndrome	C0036391
628	Diastrophic dwarfism	C0220726
673	Malaria	C0024530
681	Hypokalemic periodic paralysis	C0238358
681	Hypokalemic periodic paralysis	C0238357
126	Blepharophimosis-epicanthus inversus-ptosis syndrome	C0220663
107	BOR syndrome	C0265234
774	Hereditary hemorrhagic telangiectasia	C0039445
794	Saethre-Chotzen syndrome	C0175699
710	Pfeiffer syndrome	C0220658
710	Pfeiffer syndrome	C0265303
710	Pfeiffer syndrome	C2931888
2869	Peutz-Jeghers syndrome	C0031269
893	WAGR syndrome	C0206115
893	WAGR syndrome	C2931803
912	Zellweger syndrome	C0043459
50	Aicardi syndrome	C0175713
53	Albers-Schönberg osteopetrosis	C3179239
14	Abetalipoproteinemia	C0000744
52	Alagille syndrome	C0085280
167	Chédiak-Higashi syndrome	C0007965
195	Cat-eye syndrome	C0265493
205	Crigler-Najjar syndrome	C0010324
201	Cowden syndrome	C0018553
192	Coffin-Lowry syndrome	C0265252
2442	X-linked lymphoproliferative disease	C0549463
169808	Mild hemophilia A	C0272324
169802	Severe hemophilia A	C0272322
562	McCune-Albright syndrome	C0242292
