ORPHANET_ID	ORPHANET_NAME	ICD10CM_ID
166024	Multiple epiphyseal dysplasia, Al-Gazali type	Q77.3
58	Alexander disease	E75.2
166032	Multiple epiphyseal dysplasia, with miniepiphyses	Q77.3
61	Alpha-mannosidosis	E77.1
166029	Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia	Q77.3
93	Aspartylglucosaminuria	E77.1
585	Multiple sulfatase deficiency	E75.2
118	Beta-mannosidosis	E77.1
166068	Pontocerebellar hypoplasia type 5	Q04.3
141	Canavan disease	E75.2
166063	Pontocerebellar hypoplasia type 4	Q04.3
166078	Von Willebrand disease type 1	D68.0
166073	Pontocerebellar hypoplasia type 6	Q04.3
213	Cystinosis	E72.0
166084	Von Willebrand disease type 2A	D68.0
333	Farber disease	E75.2
166081	Von Willebrand disease type 2	D68.0
349	Fucosidosis	E77.1
166090	Von Willebrand disease type 2M	D68.0
365	Glycogen storage disease due to acid maltase deficiency	E74.0
166087	Von Willebrand disease type 2B	D68.0
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	E74.0
166093	Von Willebrand disease type 2N	D68.0
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	E74.0
166096	Von Willebrand disease type 3	D68.0
367	Glycogen storage disease due to glycogen branching enzyme deficiency	E74.0
166100	Stickler syndrome type 3	Q87.5
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	E74.0
166105	FASTKD2-related infantile mitochondrial encephalomyopathy	G71.3
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	E74.0
447	Paroxysmal nocturnal hemoglobinuria	D59.5
166108	Intellectual disability, Birk-Barel type	Q87.8
535	Rare cutaneous lupus erythematosus	L93.0
535	Rare cutaneous lupus erythematosus	L93.1
535	Rare cutaneous lupus erythematosus	L93.2
166119	Isolated osteopoikilosis	Q78.8
487	Krabbe disease	E75.2
166260	Dentinogenesis imperfecta type 2	K00.5
166265	Dentinogenesis imperfecta type 3	K00.5
583	Mucopolysaccharidosis type 6	E76.2
166272	Odontochondrodysplasia	Q78.8
576	Mucolipidosis type II	E77.0
166277	Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia	Q78.8
812	Sialidosis type 1	E77.1
166282	Familial sick sinus syndrome	I49.5
578	Mucolipidosis type IV	E75.1
166286	Porokeratotic eccrine ostial and dermal duct nevus	Q82.5
577	Mucolipidosis type III	E77.0
166291	Dirofilariasis	B74.8
166295	Benign non-familial infantile seizures	G40.4
2912	Poliomyelitis	A80.4
2912	Poliomyelitis	A80.2
2912	Poliomyelitis	A80.3
2912	Poliomyelitis	A80.9
2912	Poliomyelitis	A80.0
2912	Poliomyelitis	A80.1
166302	Benign partial epilepsy with secondarily generalized seizures in infancy	G40.1
166299	Benign partial epilepsy of infancy with complex partial seizures	G40.2
796	Sandhoff disease	E75.0
166409	Photosensitive epilepsy	G40.8
461	Recessive X-linked ichthyosis	Q80.1
166421	Orgasm-induced seizures	G40.8
166418	Eating reflex epilepsy	G40.8
166415	Audiogenic seizures	G40.8
584	Mucopolysaccharidosis type 7	E76.2
166412	Hot water reflex epilepsy	G40.8
166433	Reading seizures	G40.8
166430	Micturation-induced seizures	G40.8
881	Turner syndrome	Q96.0
881	Turner syndrome	Q96.1
881	Turner syndrome	Q96.8
881	Turner syndrome	Q96.9
881	Turner syndrome	Q96.2
881	Turner syndrome	Q96.3
881	Turner syndrome	Q96.4
166427	Startle epilepsy	G40.8
166424	Thinking seizures	G40.8
95	Friedreich ataxia	G11.1
848	Beta-thalassemia	D56.1
846	Alpha-thalassemia	D56.0
586	Cystic fibrosis	E84.0
586	Cystic fibrosis	E84.1
586	Cystic fibrosis	E84.8
586	Cystic fibrosis	E84.9
262	Duchenne and Becker muscular dystrophy	G71.0
261	Emery-Dreifuss muscular dystrophy	G71.0
550	MELAS	G71.3
269	Facioscapulohumeral dystrophy	G71.0
480	Kearns-Sayre syndrome	H49.8
163898	Classic paraneoplastic limbic encephalitis	G13.1
593	Myofibrillar myopathy	G71.8
163895	Paraneoplastic limbic encephalitis	G13.1
163908	Limbic encephalitis with LGI1 antibodies	G04.8
163908	Limbic encephalitis with LGI1 antibodies	G13.1
163903	Limbic encephalitis associated with antibodies to cell membrane antigens	G13.1
551	MERRF	G71.3
597	Central core disease	G71.2
607	Nemaline myopathy	G71.2
163746	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	E75.2
684	Paramyotonia congenita of Von Eulenburg	G71.1
163931	Acrodermatitis continua of Hallopeau	L40.2
273	Steinert myotonic dystrophy	G71.1
163927	Pustulosis palmaris et plantaris	L40.3
163937	X-linked intellectual disability, Najm type	Q04.3
163934	Atopic keratoconjunctivitis	H16.2
163924	Non-herpetic acute limbic encephalitis	G04.8
614	Thomsen and Becker disease	G71.1
163921	Posttransplant acute limbic encephalitis	A86
163966	X-linked dominant chondrodysplasia, Chassaing-Lacombe type	Q87.8
163971	X-linked intellectual disability, Cilliers type	Q87.8
163976	X-linked intellectual disability, Van Esch type	Q87.8
163979	X-linked intellectual disability-craniofacioskeletal syndrome	Q87.8
163953	X-linked intellectual disability, Raymond type	Q87.8
163956	X-linked intellectual disability, Nascimento type	Q87.8
163961	X-linked cerebral-cerebellar-coloboma syndrome	Q87.8
164004	Middle ear anomaly	Q16.4
164004	Middle ear anomaly	Q16.3
164726	Acute myeloid leukemia and myelodysplastic syndromes related to radiation	D46
324	Fabry disease	E75.2
163985	Hyperekplexia-epilepsy syndrome	G25.8
778	Rett syndrome	F84.2
72	Angelman syndrome	Q93.5
307	Juvenile myoclonic epilepsy	G40.3
1941	Juvenile absence epilepsy	G40.3
892	Von Hippel-Lindau disease	Q85.8
164823	Rare acquired aplastic anemia	D61.1
164823	Rare acquired aplastic anemia	D61.2
731	Autosomal recessive polycystic kidney disease	Q61.1
164736	Familial advanced sleep-phase syndrome	G47.2
138	CHARGE syndrome	Q87.8
558	Marfan syndrome	Q87.4
803	Amyotrophic lateral sclerosis	G12.2
100	Ataxia-telangiectasia	G11.3
733	Familial adenomatous polyposis	D12.6
399	Huntington disease	G10
165955	Wound myiasis	B87.1
501	Lafora disease	G40.3
