ORPHANET_ID	ORPHANET_NAME	MESH_ID
93	Aspartylglucosaminuria	C538402
166063	Pontocerebellar hypoplasia type 4	C536716
166073	Pontocerebellar hypoplasia type 6	C548074
333	Farber disease	C537075
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	C537276
166100	Stickler syndrome type 3	C537494
576	Mucolipidosis type II	C538602
684	Paramyotonia congenita of Von Eulenburg	C538616
273	Steinert myotonic dystrophy	C538008
1941	Juvenile absence epilepsy	C535495
512	Metachromatic leukodystrophy	C538597
47	X-linked agammaglobulinemia	C537409
280	Wolf-Hirschhorn syndrome	C536740
96	Ataxia with vitamin E deficiency	C535393
636	Neurofibromatosis type 1	C538607
649	Norrie disease	C537849
163727	Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome	C535499
16	Blue cone monochromatism	C536238
16	Blue cone monochromatism	C538165
281	Monosomy 5p	C538482
60	Alpha-1-antitrypsin deficiency	C531610
895	Waardenburg syndrome type 2	C536463
857	Townes-Brocks syndrome	C536974
682	Hyperkalemic periodic paralysis	C535409
710	Pfeiffer syndrome	C538582
893	WAGR syndrome	C538295
195	Cat-eye syndrome	C535918
474	Jeune syndrome	C537571
1646	Partial chromosome Y deletion	C536297
1000	Ocular albinism with late-onset sensorineural deafness	C537043
999	Ermine phenotype	C535508
930	Idiopathic achalasia	C536011
998	Albinism-deafness syndrome	C537042
1715	Trisomy 18p	C538307
1707	Distal trisomy 15q	C538036
168796	Heart-hand syndrome, Slovenian type	C535852
1465	Coffin-Siris syndrome	C536436
8	47,XYY syndrome	C535317
2772	Congenital osteogenesis imperfecta-microcephaly-cataracts syndrome	C537558
11	Pentasomy X	C535319
385	Neurodegeneration with brain iron accumulation	C538421
596	X-linked centronuclear myopathy	C538647
610	Bethlem myopathy	C535436
56	Alkaptonuria	C537862
1059	Blue rubber bleb nevus	C536240
245	Nager syndrome	C538184
30	Hereditary orotic aciduria	C537136
33	Isovaleric acidemia	C538167
9	Tetrasomy X	C536502
1442	Ring chromosome 18 syndrome	C538304
1455	Autosomal dominant coarctation of aorta	C531623
193	Cohen syndrome	C536438
1369	Congenital cataract-hypertrophic cardiomyopathy-mitochondrial myopathy syndrome	C538280
168549	Axial spondylometaphyseal dysplasia	C535795
168552	Spondylometaphyseal dysplasia-bowed forearms-facial dysmorphism syndrome	C535791
168572	Native American myopathy	C538343
168443	Spondyloepimetaphyseal dysplasia-hypotrichosis syndrome	C535783
168454	Spondyloepimetaphyseal dysplasia, Geneviève type	C535785
1143	Neurogenic arthrogryposis multiplex congenita	C536614
235	Dubowitz syndrome	C535718
239	Dyggve-Melchior-Clausen disease	C535726
765	Pyruvate dehydrogenase deficiency	C536257
408	Isolated glycerol kinase deficiency	C538138
45	Adenosine monophosphate deaminase deficiency	C538234
226	Dihydropteridine reductase deficiency	C537896
1556	Cutis marmorata telangiectatica congenita	C536226
1496	Corpus callosum agenesis-neuronopathy syndrome	C536446
446	Neonatal hemochromatosis	C536394
2140	Congenital diaphragmatic hernia	C538080
2118	Hawkinsinuria	C535845
351	Galactosialidosis	C536411
2053	Freeman-Sheldon syndrome	C535483
255	Dopa-responsive dystonia	C538007
1885	Isolated ectopia lentis	C536184
635	Neuroblastoma	C536408
2635	Metatropic dysplasia	C537356
705	Pendred syndrome	C536648
2785	Osteopetrosis with renal tubular acidosis	C536058
2746	Opsismodysplasia	C537122
2971	Peroxisomal acyl-CoA oxidase deficiency	C536662
2970	Prune belly syndrome	C536477
2981	Pseudo-Zellweger syndrome	C535818
502	Trichorhinophalangeal syndrome type 2	C536555
2430	Congenital macroglossia	C531735
2414	Congenital pulmonary lymphangiectasia	C537727
2466	MASA syndrome	C536029
560	Marshall syndrome	C536025
612	Potassium-aggravated myotonia	C538353
54	X-linked recessive ocular albinism	C537863
834	Free sialic acid storage disease	C538523
3169	Sirenomelia	C538595
3346	Tracheal agenesis	C536975
887	VACTERL/VATER association	C536495
887	VACTERL/VATER association	C536534
3447	Weaver syndrome	C536687
183	Eosinophilic granulomatosis with polyangiitis	C531653
2131	Alternating hemiplegia of childhood	C536589
2334	Autosomal dominant keratitis	C537022
46	Adenylosuccinate lyase deficiency	C538235
3166	Sialuria	C537332
2882	Sitosterolemia	C537345
171700	Diffuse panbronchiolitis	C536174
32	Glutathione synthetase deficiency	C536835
26	Methylmalonic acidemia with homocystinuria	C537359
1201	Atresia of small intestine	C538260
98	Autosomal recessive spastic ataxia of Charlevoix-Saguenay	C536787
284	Alveolar echinococcosis	C536591
1177	Early-onset cerebellar ataxia with retained tendon reflexes	C535633
828	Stickler syndrome	C537492
1928	Congenital lobar emphysema	C535735
3452	Whipple disease	C531849
199282	Harlequin syndrome	C535634
1195	Congenital atransferrinemia	C538259
3129	Sarcosinemia	C537236
13	6-pyruvoyl-tetrahydropterin synthase deficiency	C535325
171	Primary sclerosing cholangitis	C536419
199251	Ledderhose disease	C537000
199241	Pulmonary capillary hemangiomatosis	C535861
2134	Atypical hemolytic uremic syndrome	C538266
3006	Pyridoxine-dependent epilepsy	C536254
2382	Lennox-Gastaut syndrome	C535500
2070	Eosinophilic gastroenteritis	C535952
677	Pancreatoblastoma	C537162
808	Seckel syndrome	C537533
627	Nance-Horan syndrome	C538336
638	Neurofibromatosis-Noonan syndrome	C537393
215	Congenital stationary night blindness	C536122
373	Simpson-Golabi-Behmel syndrome	C537340
1331	Familial prostate cancer	C537243
157	Carnitine palmitoyltransferase II deficiency	C535589
1446	Ring chromosome 22 syndrome	C536795
392	Holt-Oram syndrome	C535326
113	Bazex-Dupré-Christol syndrome	C537663
48	Congenital bilateral absence of vas deferens	C535984
182090	Pulmonary arterial hypertension	C536282
71	Chylomicron retention disease	C535460
1949	Benign familial neonatal epilepsy	C535466
3103	Roberts syndrome	C535687
888	Van der Woude syndrome	C536528
1621	3q13 microdeletion syndrome	C536808
500	Noonan syndrome with multiple lentigines	C537116
240	Léri-Weill dyschondrosteosis	C537119
2311	Autosomal recessive spondylocostal dysostosis	C537565
2311	Autosomal recessive spondylocostal dysostosis	C535781
1354	Heart defects-limb shortening syndrome	C535850
557	Isolated anorectal malformation	C537771
150	Nasopharyngeal carcinoma	C538339
1552	Currarino syndrome	C536221
1450	Ring chromosome 8 syndrome	C537824
1448	Ring chromosome 6 syndrome	C537763
1437	Ring chromosome 1 syndrome	C535361
1447	Ring chromosome 4 syndrome	C537636
1444	Ring chromosome 20 syndrome	C535369
1438	Ring chromosome 10 syndrome	C538086
3310	Tetrasomy 9p	C538027
3000	Familial male-limited precocious puberty	C536961
1706	Mosaic trisomy 15	C538037
916	Aase-Smith syndrome	C535332
918	ABCD syndrome	C535334
920	Ablepharon macrostomia syndrome	C535557
1445	Ring chromosome 21 syndrome	C537109
7	3C syndrome	C535313
931	Acheiropodia	C536014
929	Achalasia-microcephaly syndrome	C536010
869	Triple A syndrome	C536008
869	Triple A syndrome	C536009
921	Abruzzo-Erickson syndrome	C535559
939	3-hydroxyisobutyric aciduria	C535312
31	Oxoglutaric aciduria	C536582
935	Short-limb skeletal dysplasia with severe combined immunodeficiency	C536020
950	Acrodysostosis	C538179
945	Acalvaria	C535570
958	Acro-renal-mandibular syndrome	C535665
955	Acroosteolysis dominant type	C531695
955	Acroosteolysis dominant type	C535663
952	Acrofacial dysostosis, Weyers type	C536695
1703	Mosaic trisomy 14	C535489
1705	Distal trisomy 14q	C538034
1713	17p11.2 microduplication syndrome	C536578
1738	Trisomy 4p	C537643
1752	Trisomy 8q	C538020
1762	Trisomy Xq28	C537723
1876	Oculogastrointestinal muscular dystrophy	C536350
1948	Epilepsy-microcephaly-skeletal dysplasia syndrome	C537662
1951	Epilepsy-telangiectasia syndrome	C535497
2597	Mitochondrial myopathy-lactic acidosis-deafness syndrome	C537476
2598	Mitochondrial myopathy and sideroblastic anemia	C536101
1078	Thumb stiffness-brachydactyly-intellectual disability syndrome	C537511
1072	Ankyloblepharon filiforme adnatum-cleft palate syndrome	C536373
1071	Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome	C535289
1068	Aniridia-intellectual disability syndrome	C536568
1064	Aniridia-renal agenesis-psychomotor retardation syndrome	C536371
1062	Hereditary neurocutaneous malformation	C536364
1053	Vein of Galen aneurysmal malformation	C536535
1052	Mosaic variegated aneuploidy syndrome	C536987
1040	Metaphyseal anadysplasia	C537351
1037	Arthrogryposis multiplex congenita	C536613
1125	Ocular motor apraxia, Cogan type	C537423
1122	Ulnar hypoplasia-split foot syndrome	C536936
1116	Aplasia cutis congenita-intestinal lymphangiectasia syndrome	C537788
1118	Fibular aplasia-ectrodactyly syndrome	C537930
1110	Aortic arch anomaly-facial dysmorphism-intellectual disability syndrome	C537785
1112	Aphalangy-hemivertebrae-urogenital-intestinal dysgenesis syndrome	C535881
83	Antley-Bixler syndrome	C537780
1104	Anophthalmia plus syndrome	C537767
1094	Anonychia-microcephaly syndrome	C536948
51	Aicardi-Goutières syndrome	C535607
978	ADULT syndrome	C538052
