ORPHANET_ID	ORPHANET_NAME	OMIM_ID
166024	Multiple epiphyseal dysplasia, Al-Gazali type	607131
58	Alexander disease	203450
166032	Multiple epiphyseal dysplasia, with miniepiphyses	609325
61	Alpha-mannosidosis	248500
166029	Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia	609324
166038	Metaphyseal chondrodysplasia, Kaitila type	250230
93	Aspartylglucosaminuria	208400
166035	Brachydactyly-short stature-retinitis pigmentosa syndrome	250410
585	Multiple sulfatase deficiency	272200
118	Beta-mannosidosis	248510
166068	Pontocerebellar hypoplasia type 5	610204
141	Canavan disease	271900
166063	Pontocerebellar hypoplasia type 4	225753
166078	Von Willebrand disease type 1	193400
166073	Pontocerebellar hypoplasia type 6	611523
213	Cystinosis	219750
213	Cystinosis	219800
213	Cystinosis	219900
166084	Von Willebrand disease type 2A	613554
333	Farber disease	228000
166081	Von Willebrand disease type 2	613554
349	Fucosidosis	230000
166090	Von Willebrand disease type 2M	613554
365	Glycogen storage disease due to acid maltase deficiency	232300
166087	Von Willebrand disease type 2B	613554
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	232400
166093	Von Willebrand disease type 2N	613554
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	232600
166096	Von Willebrand disease type 3	277480
367	Glycogen storage disease due to glycogen branching enzyme deficiency	232500
367	Glycogen storage disease due to glycogen branching enzyme deficiency	263570
166100	Stickler syndrome type 3	184840
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	232800
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	232700
447	Paroxysmal nocturnal hemoglobinuria	300818
447	Paroxysmal nocturnal hemoglobinuria	615399
166108	Intellectual disability, Birk-Barel type	612292
166119	Isolated osteopoikilosis	166700
487	Krabbe disease	245200
487	Krabbe disease	611722
166260	Dentinogenesis imperfecta type 2	125490
166260	Dentinogenesis imperfecta type 2	605594
166265	Dentinogenesis imperfecta type 3	125500
583	Mucopolysaccharidosis type 6	253200
166272	Odontochondrodysplasia	184260
576	Mucolipidosis type II	252500
166277	Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia	604922
812	Sialidosis type 1	256550
166282	Familial sick sinus syndrome	163800
166282	Familial sick sinus syndrome	182190
166282	Familial sick sinus syndrome	608567
166282	Familial sick sinus syndrome	614090
578	Mucolipidosis type IV	252650
577	Mucolipidosis type III	252600
577	Mucolipidosis type III	252605
796	Sandhoff disease	268800
166409	Photosensitive epilepsy	132100
166409	Photosensitive epilepsy	609572
166409	Photosensitive epilepsy	609573
461	Recessive X-linked ichthyosis	300001
461	Recessive X-linked ichthyosis	308100
584	Mucopolysaccharidosis type 7	253220
166412	Hot water reflex epilepsy	613339
166412	Hot water reflex epilepsy	613340
166433	Reading seizures	132300
95	Friedreich ataxia	229300
95	Friedreich ataxia	601992
848	Beta-thalassemia	613985
848	Beta-thalassemia	603902
846	Alpha-thalassemia	604131
586	Cystic fibrosis	219700
261	Emery-Dreifuss muscular dystrophy	614302
261	Emery-Dreifuss muscular dystrophy	616516
261	Emery-Dreifuss muscular dystrophy	181350
261	Emery-Dreifuss muscular dystrophy	300696
261	Emery-Dreifuss muscular dystrophy	310300
261	Emery-Dreifuss muscular dystrophy	612998
261	Emery-Dreifuss muscular dystrophy	612999
550	MELAS	540000
269	Facioscapulohumeral dystrophy	158900
269	Facioscapulohumeral dystrophy	158901
269	Facioscapulohumeral dystrophy	600416
480	Kearns-Sayre syndrome	530000
551	MERRF	545000
597	Central core disease	117000
163746	Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	609136
684	Paramyotonia congenita of Von Eulenburg	168300
273	Steinert myotonic dystrophy	160900
163937	X-linked intellectual disability, Najm type	300749
614	Thomsen and Becker disease	160800
614	Thomsen and Becker disease	255700
163966	X-linked dominant chondrodysplasia, Chassaing-Lacombe type	300863
163979	X-linked intellectual disability-craniofacioskeletal syndrome	300712
163953	X-linked intellectual disability, Raymond type	300799
163956	X-linked intellectual disability, Nascimento type	300860
163961	X-linked cerebral-cerebellar-coloboma syndrome	300864
324	Fabry disease	301500
163982	X-linked intellectual disability-spastic quadriparesis syndrome	309640
163985	Hyperekplexia-epilepsy syndrome	300607
778	Rett syndrome	312750
72	Angelman syndrome	105830
307	Juvenile myoclonic epilepsy	254770
307	Juvenile myoclonic epilepsy	604827
307	Juvenile myoclonic epilepsy	607628
307	Juvenile myoclonic epilepsy	607682
307	Juvenile myoclonic epilepsy	608816
307	Juvenile myoclonic epilepsy	611136
307	Juvenile myoclonic epilepsy	611364
307	Juvenile myoclonic epilepsy	613060
307	Juvenile myoclonic epilepsy	614280
307	Juvenile myoclonic epilepsy	617924
1941	Juvenile absence epilepsy	607631
892	Von Hippel-Lindau disease	193300
731	Autosomal recessive polycystic kidney disease	263200
731	Autosomal recessive polycystic kidney disease	617610
164736	Familial advanced sleep-phase syndrome	616882
164736	Familial advanced sleep-phase syndrome	604348
164736	Familial advanced sleep-phase syndrome	615224
138	CHARGE syndrome	214800
558	Marfan syndrome	610168
558	Marfan syndrome	154700
165805	Familial mesial temporal lobe epilepsy with febrile seizures	614418
803	Amyotrophic lateral sclerosis	617892
803	Amyotrophic lateral sclerosis	614808
803	Amyotrophic lateral sclerosis	615426
803	Amyotrophic lateral sclerosis	615515
803	Amyotrophic lateral sclerosis	616208
803	Amyotrophic lateral sclerosis	616437
803	Amyotrophic lateral sclerosis	105400
803	Amyotrophic lateral sclerosis	205250
803	Amyotrophic lateral sclerosis	300857
803	Amyotrophic lateral sclerosis	606070
803	Amyotrophic lateral sclerosis	606640
803	Amyotrophic lateral sclerosis	608030
803	Amyotrophic lateral sclerosis	608031
803	Amyotrophic lateral sclerosis	608627
803	Amyotrophic lateral sclerosis	611895
803	Amyotrophic lateral sclerosis	612069
803	Amyotrophic lateral sclerosis	612577
803	Amyotrophic lateral sclerosis	613435
803	Amyotrophic lateral sclerosis	613954
803	Amyotrophic lateral sclerosis	614696
803	Amyotrophic lateral sclerosis	617839
100	Ataxia-telangiectasia	208900
100	Ataxia-telangiectasia	208910
733	Familial adenomatous polyposis	175100
399	Huntington disease	143100
501	Lafora disease	254780
870	Down syndrome	190685
512	Metachromatic leukodystrophy	156310
512	Metachromatic leukodystrophy	249900
512	Metachromatic leukodystrophy	250100
166011	Multiple epiphyseal dysplasia, Beighton type	132450
567	22q11.2 deletion syndrome	188400
567	22q11.2 deletion syndrome	192430
166016	Multiple epiphyseal dysplasia, Lowry type	601560
232	Sickle cell anemia	603903
165994	Pituitary resistance to thyroid hormone	145650
166002	Multiple epiphyseal dysplasia due to collagen 9 anomaly	600204
166002	Multiple epiphyseal dysplasia due to collagen 9 anomaly	600969
166002	Multiple epiphyseal dysplasia due to collagen 9 anomaly	614135
534	Oculocerebrorenal syndrome of Lowe	309000
790	Retinoblastoma	180200
165991	Exercise-induced hyperinsulinism	610021
652	Multiple endocrine neoplasia type 1	131100
908	Fragile X syndrome	300624
3099	Rheumatic fever	268240
739	Prader-Willi syndrome	176270
739	Prader-Willi syndrome	615547
47	X-linked agammaglobulinemia	300310
47	X-linked agammaglobulinemia	300755
580	Mucopolysaccharidosis type 2	309900
579	Mucopolysaccharidosis type 1	607014
579	Mucopolysaccharidosis type 1	607015
579	Mucopolysaccharidosis type 1	607016
905	Wilson disease	277900
792	X-linked retinoschisis	312700
383	X-linked mixed deafness with perilymphatic gusher	304400
827	Stargardt disease	248200
827	Stargardt disease	600110
827	Stargardt disease	603786
906	Wiskott-Aldrich syndrome	301000
906	Wiskott-Aldrich syndrome	600903
906	Wiskott-Aldrich syndrome	614493
904	Williams syndrome	194050
280	Wolf-Hirschhorn syndrome	194190
15	Achondroplasia	100800
96	Ataxia with vitamin E deficiency	277460
101	Dentatorubral pallidoluysian atrophy	125370
783	Rubinstein-Taybi syndrome	180849
783	Rubinstein-Taybi syndrome	610543
783	Rubinstein-Taybi syndrome	613684
163649	Spondyloepiphyseal dysplasia, Nishimura type	602611
631	Non-acquired isolated growth hormone deficiency	173100
631	Non-acquired isolated growth hormone deficiency	262400
631	Non-acquired isolated growth hormone deficiency	262650
631	Non-acquired isolated growth hormone deficiency	300123
631	Non-acquired isolated growth hormone deficiency	307200
631	Non-acquired isolated growth hormone deficiency	612781
276	T-B+ severe combined immunodeficiency due to gamma chain deficiency	300400
163654	Spondyloepiphyseal dysplasia, Cantu type	611717
481	Kennedy disease	313200
664	Ornithine transcarbamylase deficiency	311250
163668	Spondyloepiphyseal dysplasia, MacDermot type	184000
163673	Spondyloepiphyseal dysplasia, Byers type	183850
163662	Spondyloepiphyseal dysplasia, Reardon type	600561
394	Classic homocystinuria	236200
163665	Spondyloepiphyseal dysplasia tarda, Kohn type	271620
508	Leprechaunism	246200
436	Hypophosphatasia	146300
436	Hypophosphatasia	241500
436	Hypophosphatasia	241510
163596	Hb Bart's hydrops fetalis	236750
429	Hypochondroplasia	146000
104	Leber hereditary optic neuropathy	308905
104	Leber hereditary optic neuropathy	535000
2182	Hydrocephalus with stenosis of the aqueduct of Sylvius	307000
163634	Maffucci syndrome	614569
163717	Benign familial mesial temporal lobe epilepsy	611630
163717	Benign familial mesial temporal lobe epilepsy	614417
163717	Benign familial mesial temporal lobe epilepsy	615697
636	Neurofibromatosis type 1	162200
636	Neurofibromatosis type 1	162210
636	Neurofibromatosis type 1	613675
649	Norrie disease	310600
163727	Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome	608105
163721	Rolandic epilepsy-speech dyspraxia syndrome	245570
163721	Rolandic epilepsy-speech dyspraxia syndrome	300643
