ORPHANET_ID	ORPHANET_NAME	PARENT_ORPHANET_ID
166024	Multiple epiphyseal dysplasia, Al-Gazali type	93419
58	Alexander disease	98006
166032	Multiple epiphyseal dysplasia, with miniepiphyses	93419
61	Alpha-mannosidosis	68367
166029	Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia	93419
166038	Metaphyseal chondrodysplasia, Kaitila type	93419
93	Aspartylglucosaminuria	68367
166035	Brachydactyly-short stature-retinitis pigmentosa syndrome	93419
585	Multiple sulfatase deficiency	68367
118	Beta-mannosidosis	68367
166068	Pontocerebellar hypoplasia type 5	93890
141	Canavan disease	98006
166063	Pontocerebellar hypoplasia type 4	93890
166078	Von Willebrand disease type 1	97992
166073	Pontocerebellar hypoplasia type 6	93890
213	Cystinosis	68367
166084	Von Willebrand disease type 2A	97992
333	Farber disease	68367
166081	Von Willebrand disease type 2	97992
349	Fucosidosis	68367
166090	Von Willebrand disease type 2M	97992
365	Glycogen storage disease due to acid maltase deficiency	68367
166087	Von Willebrand disease type 2B	97992
366	Glycogen storage disease due to glycogen debranching enzyme deficiency	68367
166093	Von Willebrand disease type 2N	97992
368	Glycogen storage disease due to muscle glycogen phosphorylase deficiency	68367
166096	Von Willebrand disease type 3	97992
367	Glycogen storage disease due to glycogen branching enzyme deficiency	68367
166100	Stickler syndrome type 3	93419
371	Glycogen storage disease due to muscle phosphofructokinase deficiency	68367
166105	FASTKD2-related infantile mitochondrial encephalomyopathy	98006
369	Glycogen storage disease due to liver glycogen phosphorylase deficiency	68367
447	Paroxysmal nocturnal hemoglobinuria	97992
166108	Intellectual disability, Birk-Barel type	93890
166113	Bazex syndrome	89826
535	Rare cutaneous lupus erythematosus	
166119	Isolated osteopoikilosis	93419
487	Krabbe disease	68367
166260	Dentinogenesis imperfecta type 2	98026
166265	Dentinogenesis imperfecta type 3	98026
583	Mucopolysaccharidosis type 6	68367
166272	Odontochondrodysplasia	93419
576	Mucolipidosis type II	68367
166277	Wormian bone-multiple fractures-dentinogenesis imperfecta-skeletal dysplasia	93419
812	Sialidosis type 1	68367
166282	Familial sick sinus syndrome	97929
578	Mucolipidosis type IV	68367
166286	Porokeratotic eccrine ostial and dermal duct nevus	89826
577	Mucolipidosis type III	68367
166291	Dirofilariasis	68416
166295	Benign non-familial infantile seizures	
166308	Benign infantile focal epilepsy with midline spikes and waves during sleep	98006
166305	Benign infantile seizures associated with mild gastroenteritis	98006
2912	Poliomyelitis	68416
166302	Benign partial epilepsy with secondarily generalized seizures in infancy	98006
166299	Benign partial epilepsy of infancy with complex partial seizures	98006
796	Sandhoff disease	68367
166409	Photosensitive epilepsy	98006
801	Scleroderma	
