id	name	missing_vocabulary	resource_id	resource_code	mapping_distance	similarity	score
D001063	Appendiceal Neoplasms	ORPHANET	SNOMEDCT	126846004	2	0.5	0.5
D000071960	Breast Carcinoma In Situ	ORPHANET	ICD10CM	D05.0	2	0.8660254037844387	0.6830127018922194
D054752	Langerhans Cell Sarcoma	ORPHANET	SNOMEDCT	715664005	3	0.6666666666666666	0.5
D011711	Pyoderma	ORPHANET	ICD10CM	L08.0	4	1.0	0.625
D002430	Cecal Neoplasms	ORPHANET	SNOMEDCT	363350007	2	0.5	0.5
D003859	Dependent Personality Disorder	ORPHANET	ICD10CM	F60.7	3	1.0	0.6666666666666666
D045888	Ganglion Cysts	ORPHANET	ICD10CM	M67.4	2	0.7071067811865475	0.6035533905932737
D056725	von Willebrand Disease, Type 1	ORPHANET	SNOMEDCT	359732009	3	0.6666666666666666	0.5
D059327	Brachydactyly	ORPHANET	OMIM	112700	3	0.7071067811865475	0.5202200572599404
D049950	Hyperparathyroidism, Primary	ORPHANET	SNOMEDCT	237653008	4	0.8164965809277261	0.5332482904638631
D006961	Hyperparathyroidism	ORPHANET	ORPHANET	99879	2	0.5773502691896258	0.5386751345948129
D046248	Pyloric Stenosis, Hypertrophic	ORPHANET	OMIM	300711	3	0.7745966692414834	0.5539650012874083
D003554	Cystinosis	ORPHANET	SNOMEDCT	367374009	2	1.0	0.75
D013706	Temporomandibular Joint Dysfunction Syndrome	ORPHANET	SNOMEDCT	41888000	2	0.6666666666666666	0.5833333333333333
D016545	Choroid Plexus Neoplasms	ORPHANET	SNOMEDCT	254942002	2	0.6666666666666666	0.5833333333333333
D017180	Tachycardia, Ventricular	ORPHANET	SNOMEDCT	66657009	3	0.8164965809277261	0.5749149571305298
D001164	Arteriovenous Fistula	ORPHANET	SNOMEDCT	6838000	4	0.8164965809277261	0.5332482904638631
D004437	Ebstein Anomaly	ORPHANET	SNOMEDCT	204357006	2	0.5	0.5
D020244	Infarction, Middle Cerebral Artery	ORPHANET	SNOMEDCT	434961000124102	4	0.8944271909999159	0.5722135954999579
D034381	Hearing Loss	ORPHANET	SNOMEDCT	15188001	2	0.5	0.5
